,ATI,group
MG_1084,3.21,training
MG_290,2.92,training
MG_548,4.94,training
MG_1221,4.22,training
MG_843,3.79,training
MG_645,2.78,training
MG_354,2.2,training
MG_1313,2.49,training
MG_1493,2.78,training
MG_1450,2.49,training
MG_817,4.51,training
MG_281,3.93,training
MG_1194,2.2,training
MG_784,3.5,training
MG_949,2.06,training
MG_735,3.5,training
MG_1102,3.42,training
MG_389,2.2,training
MG_556,2.78,training
MG_525,3.93,training
MG_1217,3.64,training
MG_1280,4.51,training
MG_1397,1.92,training
MG_726,4.22,training
MG_1161,2.64,training
MG_1150,3.5,training
MG_513,3.35,training
MG_283,4.36,training
MG_396,1.77,training
MG_910,2.2,training
MG_303,2.2,training
MG_456,4.22,training
MG_406,3.5,training
MG_1234,3.35,training
MG_742,4.51,training
MG_871,3.21,training
MG_779,4.79,training
MG_640,2.78,training
MG_172,5.23,training
MG_1169,1.63,training
MG_60,3.79,training
MG_64,4.22,training
MG_909,2.06,training
MG_1500,2.2,training
MG_63,3.5,training
MG_438,2.49,training
MG_1116,5.08,training
MG_575,4.11,training
MG_1267,2.51,training
MG_845,3.93,training
MG_1344,3.64,training
MG_931,2.49,training
MG_884,4.79,training
MG_263,4.51,training
MG_596,2.92,training
MG_1024,2.64,training
MG_129,2.75,training
MG_1052,4.07,training
MG_785,3.5,training
MG_824,4.65,training
MG_709,2.49,training
MG_748,2.92,training
MG_1510,3.21,training
MG_1253,2.64,training
MG_1327,4.07,training
MG_499,2.64,training
MG_299,6.09,training
MG_1202,3.5,training
MG_1422,3.35,training
MG_626,2.92,training
MG_383,4.36,training
MG_881,3.64,training
MG_710,4.07,training
MG_944,3.07,training
MG_1276,2.35,training
MG_900,2.64,training
MG_388,4.07,training
MG_753,2.64,training
MG_975,1.77,training
MG_517,1.92,training
MG_1145-1-1,2.2,training
MG_380,4.17,training
MG_1181,2.78,training
MG_1022,4.51,training
MG_570,5.08,training
MG_1273,3.21,training
MG_1140,2.64,training
MG_451,3.5,training
MG_478,2.78,training
MG_148,3.93,training
MG_70,4.07,training
MG_673,3.35,training
MG_1032,3.64,training
MG_373,4.36,training
MG_1018,1.77,training
MG_532,2.35,training
MG_1246,2.2,training
MG_754,2.78,training
MG_959,3.93,training
MG_218,3.64,training
MG_580,4.07,training
MG_102,2.92,training
MG_834,2.35,training
MG_238,3.79,training
MG_595,2.06,training
MG_539,3.07,training
MG_157,3.07,training
MG_876,2.78,training
MG_338,2.92,training
MG_1105,2.92,training
MG_285,4.94,training
MG_462,2.64,training
MG_767,3.79,training
MG_1275,2.2,training
MG_1449,3.93,training
MG_624,3.64,training
MG_889,3.35,training
MG_1174,2.35,training
MG_1051,3.5,training
MG_938,3.64,training
MG_864,2.78,training
MG_304,2.06,training
MG_1124,2.2,training
MG_1021,3.79,training
MG_485,4.51,training
MG_1081,1.77,training
MG_1317,4.36,training
MG_1099,2.92,training
MG_244,2.92,training
MG_934,3.64,training
MG_550,5.08,training
MG_1421,2.2,training
MG_84,3.79,training
MG_345,3.79,training
MG_604,2.64,training
MG_77,2.06,training
MG_1118,4.22,training
