,DTT,group
MG_1136,70.19,training
MG_706,68.1,training
MG_1284,67.23,training
MG_489,66.88,training
MG_264,66.36,training
MG_66,61.66,training
MG_874,67.93,training
MG_254,66.36,training
MG_799,64.62,training
MG_63,64.27,training
MG_176,68.1,training
MG_614,67.75,training
MG_1318,71.41,training
MG_803,70.71,training
MG_1496,69.32,training
MG_757,70.02,training
MG_850,66.71,training
MG_523,64.27,training
MG_765,65.49,training
MG_80,64.1,training
MG_1247,64.97,training
MG_864,66.88,training
MG_1328,72.97,training
MG_273,69.67,training
MG_1181,66.18,training
MG_166,61.83,training
MG_1086,69.32,training
MG_1065,64.44,training
MG_362,68.27,training
MG_455,70.36,training
MG_1494,73.5,training
MG_1088,66.18,training
MG_969,68.1,training
MG_1399,67.4,training
MG_173,68.62,training
MG_1445,64.97,training
MG_1275,69.49,training
MG_640,67.58,training
MG_211,65.14,training
MG_95,68.97,training
MG_915,67.4,training
MG_444,70.01,training
MG_140,62.88,training
MG_493,67.4,training
MG_55,62.18,training
MG_269,64.97,training
MG_60,63.92,training
MG_129,65.22,training
MG_1103,67.93,training
MG_908,67.06,training
MG_1253,65.14,training
MG_749,66.71,training
MG_1126,66.71,training
MG_758,68.8,training
MG_477,70.19,training
MG_425,66.53,training
MG_1172,66.01,training
MG_855,69.02,training
MG_144,64.79,training
MG_146,62.88,training
MG_293,69.14,training
MG_751,68.97,training
MG_597,62.53,training
MG_816,65.31,training
MG_437,68.27,training
MG_1403,68.8,training
MG_412,68.27,training
MG_605,69.67,training
MG_1468,67.23,training
MG_308,66.01,training
MG_997,70.54,training
MG_1326,67.4,training
MG_1117,65.84,training
MG_566,73.15,training
MG_1251,73.15,training
MG_806,69.32,training
MG_64,66.36,training
MG_350,69.14,training
MG_1061,66.71,training
MG_304,68.62,training
MG_300,64.27,training
MG_705,63.92,training
MG_1402,65.84,training
MG_213,66.01,training
MG_1177,64.88,training
MG_609,63.75,training
MG_565,68.1,training
MG_1158,66.88,training
MG_495,65.84,training
MG_836,64.44,training
MG_994,68.62,training
MG_911,65.66,training
MG_1118,68.8,training
MG_195,64.97,training
MG_382,67.75,training
MG_738,67.58,training
MG_440,67.58,training
MG_52,67.4,training
