,ED,group
MG_60,4.359161028,training
MG_813,4.334548717,training
MG_1336,3.770384486,training
MG_426,3.930573087,training
MG_472,4.098771119,training
MG_309,3.982854111,training
MG_1067,3.973623774,training
MG_879,3.885520043,training
MG_136,4.143991026,training
MG_762,4.341056379,training
MG_830,4.277982117,training
MG_700,3.913654026,training
MG_510,4.530671741,training
MG_1204,4.150164962,training
MG_1449,4.068068304,training
MG_1167,4.447348563,training
MG_1032,4.352403072,training
MG_607,4.13030825,training
MG_1143,4.235265157,training
MG_975,4.206397836,training
MG_87,4.184371903,training
MG_603,4.317028089,training
MG_100,3.897955297,training
MG_200,4.354572292,training
MG_994,4.225587095,training
MG_918,4.123466862,training
MG_793,4.314024552,training
MG_77,4.423903921,training
MG_1172,3.894912804,training
MG_717,4.18637426,training
MG_102,4.336050485,training
MG_1105,4.139318859,training
MG_142,4.385470616,training
MG_371,4.007914147,training
MG_1413,4.306015122,training
MG_555,4.466251352,training
MG_604,4.604366393,training
MG_478,4.138818269,training
MG_546,4.173859526,training
MG_1242,4.036779867,training
MG_51,4.273977402,training
MG_382,3.943338117,training
MG_145,3.775890969,training
MG_951,4.117273111,training
MG_857,4.075243418,training
MG_1174,4.096268172,training
MG_89,4.049963655,training
MG_983,3.958606093,training
MG_351,4.196386048,training
MG_936,4.032443026,training
MG_1077,3.853482323,training
MG_986,4.511757357,training
MG_320,3.923314541,training
MG_724,3.863139556,training
MG_577,4.005661494,training
MG_829,3.910776057,training
MG_167,4.177362862,training
MG_782,3.932241719,training
MG_121,4.263965614,training
MG_1313,4.097269351,training
MG_50,3.911050102,training
MG_938,4.234430841,training
MG_279,4.008665031,training
MG_239,3.950096073,training
MG_589,4.091429141,training
MG_502,4.08225167,training
MG_106,3.971783988,training
MG_505,3.954601378,training
MG_523,4.043205698,training
MG_187,3.913553049,training
MG_1217,4.438671308,training
MG_1169,4.321533393,training
MG_985,4.605033845,training
MG_347,4.141821806,training
MG_1435,3.97537534,training
MG_367,3.993647349,training
MG_331,4.182536408,training
MG_404,4.25946031,training
MG_1052,4.781575033,training
MG_916,4.102108382,training
MG_791,4.285412629,training
MG_580,4.447932212,training
MG_74,3.987640277,training
MG_966,3.687146138,training
MG_285,3.960274724,training
MG_294,4.250449701,training
MG_864,4.203394299,training
MG_927,4.19488428,training
MG_315,4.638406471,training
MG_623,4.255371017,training
MG_942,4.110785264,training
MG_1049,4.495738497,training
MG_399,4.492498735,training
MG_1398,3.962110218,training
MG_230,4.069736935,training
MG_678,4.087507858,training
MG_1101,3.947092537,training
MG_332,3.868500004,training
MG_61,4.159509297,training
MG_1343,4.355323176,training
MG_913,4.298255987,training
MG_1037,4.107781728,training
MG_1474,3.915555406,training
MG_486,3.763376235,training
MG_125,4.462032146,training
MG_787,4.151583299,training
MG_718,4.165683233,training
MG_484,3.869751478,training
MG_1212,4.430661878,training
MG_116,4.335049306,training
MG_625,4.196386048,training
MG_392,4.019928292,training
MG_511,4.141154353,training
MG_880,4.221165222,training
MG_914,4.374345573,training
MG_346,4.008665031,training
MG_1023,4.48522612,training
MG_112,4.053718075,training
MG_463,4.36458408,training
MG_179,4.139318859,training
MG_1261,3.957104325,training
MG_308,4.276480349,training
MG_680,3.949845778,training
MG_1115,4.009736661,training
MG_530,4.180367188,training
MG_1034,4.249281659,training
MG_819,4.241562917,training
MG_1243,3.96861788,training
MG_306,4.217001969,training
MG_1291,4.00115619,training
MG_120,3.993647349,training
MG_1408,4.476716101,training
MG_664,4.019511134,training
MG_1404,4.092238434,training
MG_415,4.468206081,training
MG_133,4.092764046,training
MG_949,4.248113617,training
MG_709,4.311077488,training
MG_205,4.224919643,training
