,ELL,group
MG_726,70.99,training
MG_215,84.86,training
MG_1197,73.79,training
MG_182,77.12,training
MG_1479,80.43,training
MG_692,80.69,training
MG_735,82.59,training
MG_454,72.51,training
MG_968,76.89,training
MG_1002,73.62,training
MG_99,79.91,training
MG_1210,80.7,training
MG_1287,78.78,training
MG_946,78.37,training
MG_775,86.79,training
MG_860,73.76,training
MG_1076,72.6,training
MG_117,76.76,training
MG_232,70.86,training
MG_240,83.94,training
MG_459,80.43,training
MG_926,76.91,training
MG_1324,86.42,training
MG_567,77.36,training
MG_1498,79.48,training
MG_620,91.55,training
MG_743,89.21,training
MG_335,81.4,training
MG_525,83.63,training
MG_1435,72.23,training
MG_1038,84.2,training
MG_733,86.85,training
MG_401,90.78,training
MG_1136,77.93,training
MG_910,69.07,training
MG_1304,81.96,training
MG_1055,71.19,training
MG_904,80.48,training
MG_831,85.56,training
MG_575,77.28,training
MG_650,81.16,training
MG_629,83.35,training
MG_1329,81.88,training
MG_488,67.42,training
MG_935,74.9,training
MG_978,70.12,training
MG_141,81.1,training
MG_1014,80.84,training
MG_937,81.73,training
MG_365,80.81,training
MG_456,83.46,training
MG_423,75.39,training
MG_829,77.44,training
MG_427,84.62,training
MG_1431,67.6,training
MG_1021,85.91,training
MG_1284,72.56,training
MG_670,78.9,training
MG_603,75.95,training
MG_351,67.84,training
MG_446,73.17,training
MG_958,81.54,training
MG_1062,89.95,training
MG_1128,90.15,training
MG_832,77.68,training
MG_1039,96.27,training
MG_256,69.57,training
MG_644,83.22,training
MG_244,82.49,training
MG_280,73.34,training
MG_765,73.22,training
MG_1225,84.55,training
MG_1457,84.78,training
MG_1162,76.1,training
MG_678,85.52,training
MG_519,76.49,training
MG_725,78.63,training
MG_1274,73.71,training
MG_771,83.53,training
MG_613,74.62,training
MG_1068,89.66,training
MG_962,84.1,training
MG_389,71.71,training
MG_1124,76.7,training
MG_115,81.5,training
MG_511,74.72,training
MG_908,75.41,training
MG_210,71.63,training
MG_959,72.79,training
MG_1440,80.1,training
MG_768,74.09,training
MG_111,74.58,training
MG_130,84.07,training
MG_406,81.8,training
MG_272,78.99,training
MG_1505,74.96,training
MG_1240,82.56,training
MG_977,79.08,training
MG_591,78.78,training
MG_973,76.11,training
MG_1108,76.44,training
MG_587,78.18,training
MG_379,77.18,training
MG_1043,88.45,training
MG_663,77.38,training
MG_104,72.89,training
MG_288,80.61,training
MG_128,75.39,training
MG_349,70.44,training
MG_576,85.84,training
MG_710,81.45,training
MG_819,76.72,training
MG_85,85.04,training
MG_1481,81.85,training
MG_925,72.04,training
MG_754,76.45,training
MG_1145-1-1,79.33,training
MG_1411,75.67,training
MG_741,74.57,training
MG_756,75.86,training
MG_894,72.5,training
MG_899,72.75,training
MG_772,80.03,training
MG_1116,80.41,training
MG_420,80.38,training
MG_642,76.09,training
MG_549,76.86,training
MG_1404,79.29,training
MG_862,77.91,training
MG_1326,82.66,training
MG_1501,80.67,training
MG_893,77.99,training
MG_852,88.47,training
MG_979,65.63,training
MG_437,81.54,training
MG_369,66.7,training
MG_995,78.34,training
MG_1090,73.64,training
MG_605,63.38,training
MG_67,67.31,training
MG_581,75.24,training
MG_1316,79.26,training
MG_1132,83.14,training
MG_571,81.94,training
MG_289,93.92,training
MG_989,75.55,training
MG_736,69.97,training
MG_1449,85.39,training
MG_1131,75.24,training
MG_1139,91.76,training
MG_135,72.1,training
MG_1151,87.9,training
MG_64,69.21,training
MG_467,71.75,training
MG_930,74.61,training
MG_712,75.91,training
MG_1226,81.81,training
MG_900,82.48,training
MG_255,86.22,training
MG_649,84.09,training
MG_527,73.02,training
MG_326,90.18,training
MG_681,88.23,training
MG_873,82.42,training
MG_990,72.39,training
MG_1311,80.35,training
MG_815,75.83,training
MG_469,78.53,training
MG_1328,71.2,training
MG_1127,72.43,training
MG_1005,72.12,training
MG_1283,73.12,training
MG_804,88.18,training
MG_254,88.64,training
MG_66,75.04,training
MG_835,77.35,training
MG_313,74.77,training
MG_569,64.16,training
MG_160,75.24,training
MG_795,79.18,training
MG_241,71.44,training
MG_385,74.71,training
MG_761,85.97,training
MG_1115,77.13,training
MG_1110,75.07,training
MG_646,74.69,training
MG_621,70.72,training
MG_52,80.42,training
MG_814,84.16,training
MG_293,68.24,training
MG_1204,76.69,training
MG_362,76.67,training
MG_1427,87.0,training
MG_722,81.14,training
MG_202,83.46,training
MG_720,85.6,training
MG_550,73.92,training
MG_381,74.95,training
MG_593,74.79,training
MG_688,87.22,training
MG_1261,74.29,training
MG_154,77.22,training
MG_84,80.23,training
MG_486,71.88,training
MG_353,81.53,training
MG_619,75.2,training
MG_570,92.16,training
MG_1314,81.96,training
MG_1294,74.17,training
MG_214,88.97,training
MG_388,79.83,training
MG_1018,65.03,training
MG_755,83.09,training
MG_1443,76.65,training
MG_857,82.64,training
MG_949,65.35,training
MG_221,87.2,training
MG_790,73.07,training
MG_346,71.39,training
MG_234,74.85,training
MG_955,70.01,training
MG_399,71.99,training
MG_1437,78.55,training
MG_1017,78.59,training
MG_203,89.73,training
MG_310,69.42,training
MG_1015,81.63,training
MG_625,69.08,training
MG_1429,76.33,training
MG_1459,72.34,training
MG_1253,73.03,training
MG_1433,79.11,training
MG_1077,85.84,training
MG_563,75.01,training
MG_517,74.31,training
MG_1223,82.2,training
MG_449,82.54,training
MG_143,74.71,training
MG_1143,77.96,training
MG_1079,87.59,training
MG_238,91.99,training
MG_1097,87.47,training
MG_656,72.0,training
MG_533,77.84,training
MG_228,75.76,training
MG_338,77.82,training
MG_377,83.15,training
MG_460,72.3,training
MG_413,83.8,training
MG_1023,84.73,training
MG_923,82.76,training
MG_507,80.9,training
MG_870,81.52,training
MG_834,84.64,training
MG_1196,68.65,training
MG_1186,76.04,training
MG_538,77.04,training
MG_1477,79.87,training
MG_1446,85.36,training
MG_308,75.2,training
MG_738,78.15,training
MG_874,91.99,training
MG_825,77.56,training
MG_1484,69.77,training
MG_924,74.93,training
MG_499,76.69,training
MG_1448,74.04,training
MG_1010,78.3,training
MG_609,76.47,training
MG_468,74.08,training
MG_384,76.51,training
MG_1499,71.9,training
MG_405,76.06,training
MG_302,70.83,training
MG_53,79.93,training
MG_948,72.61,training
MG_278,79.63,training
MG_1232,76.66,training
MG_1129,82.04,training
MG_806,78.19,training
MG_624,77.26,training
MG_920,86.27,training
MG_300,79.84,training
MG_1229,70.57,training
MG_965,83.6,training
MG_1495,79.8,training
MG_713,81.27,training
MG_316,71.18,training
MG_1075,79.17,training
MG_1298,85.76,training
MG_851,87.52,training
MG_938,69.65,training
MG_299,82.01,training
MG_271,78.02,training
MG_260,72.21,training
MG_342,75.2,training
MG_1190,84.23,training
MG_1470,76.52,training
MG_275,84.9,training
MG_122,74.76,training
MG_889,64.81,training
MG_846,81.63,training
MG_495,73.75,training
MG_585,73.2,training
MG_877,92.87,training
MG_1280,85.34,training
MG_424,85.56,training
MG_1081,85.96,training
MG_376,67.87,training
MG_181,89.64,training
MG_984,68.89,training
MG_660,72.3,training
MG_672,76.57,training
MG_615,70.07,training
MG_1452,86.61,training
MG_643,77.11,training
MG_742,78.39,training
MG_169,76.66,training
MG_364,72.42,training
MG_287,75.94,training
MG_847,86.71,training
MG_509,95.47,training
MG_708,81.9,training
MG_73,75.74,training
MG_1486,79.12,training
MG_728,90.72,training
MG_701,76.16,training
MG_276,86.1,training
MG_434,70.75,training
MG_777,79.37,training
MG_403,76.98,training
MG_430,84.05,training
MG_907,82.93,training
MG_1195,83.24,training
MG_586,77.19,training
MG_1040,75.07,training
MG_185,92.79,training
MG_647,73.47,training
MG_652,72.49,training
MG_891,80.66,training
MG_636,73.65,training
MG_366,71.15,training
MG_1066,85.78,training
MG_1171,89.79,training
MG_537,71.17,training
MG_914,84.51,training
MG_1154,83.31,training
MG_515,67.03,training
MG_1213,79.33,training
MG_1409,72.57,training
MG_1060,91.91,training
MG_1494,80.26,training
MG_1160,79.99,training
MG_906,78.98,training
MG_1341,82.04,training
MG_343,80.86,training
MG_200,76.54,training
MG_596,66.2,training
MG_97,69.26,training
MG_933,74.99,training
MG_827,83.68,training
MG_952,78.37,training
MG_588,67.89,training
MG_124,75.04,training
MG_192,79.94,training
MG_1417,85.69,training
MG_796,79.88,training
MG_199,81.23,training
MG_1205,67.38,training
MG_450,72.58,training
MG_987,72.63,training
MG_220,83.36,training
MG_118,80.01,training
MG_805,84.58,training
MG_812,85.11,training
MG_1130,84.69,training
MG_573,83.78,training
MG_484,74.03,training
MG_1187,73.17,training
MG_510,78.55,training
MG_71,73.93,training
MG_791,71.0,training
MG_432,81.83,training
MG_490,70.7,training
MG_676,86.44,training
MG_382,68.36,training
MG_758,87.55,training
MG_1169,74.39,training
MG_1338,76.8,training
MG_971,70.09,training
MG_1046,86.06,training
MG_332,84.66,training
MG_1059,84.23,training
MG_1119,62.94,training
MG_612,76.36,training
MG_461,93.89,training
MG_1451,61.77,training
MG_655,85.84,training
MG_494,77.36,training
MG_1467,81.3,training
MG_1286,76.4,training
MG_426,81.84,training
MG_1172,72.04,training
MG_1053,71.48,training
MG_664,76.6,training
MG_266,80.53,training
MG_892,91.01,training
MG_1401,79.66,training
MG_1144,75.94,training
MG_123,81.09,training
MG_1282,77.39,training
MG_1242,81.82,training
MG_1093,76.95,training
MG_816,81.45,training
MG_1109,81.88,training
MG_1200,75.27,training
MG_132,75.87,training
MG_1339,80.32,training
MG_119,75.86,training
MG_1394,74.25,training
MG_677,76.07,training
MG_749,83.13,training
MG_1125,73.83,training
MG_445,74.29,training
MG_1289,87.13,training
MG_190,77.65,training
MG_822,76.76,training
MG_286,86.61,training
MG_737,80.46,training
MG_858,71.93,training
MG_641,75.91,training
MG_341,79.47,training
MG_331,82.08,training
