,ELW,group
MG_591,8.91,training
MG_1192,8.84,training
MG_1219,9.89,training
MG_651,7.39,training
MG_1206,10.15,training
MG_377,9.76,training
MG_1071,7.96,training
MG_1181,9.53,training
MG_1099,8.99,training
MG_374,9.63,training
MG_390,9.24,training
MG_384,8.53,training
MG_286,10.41,training
MG_733,7.23,training
MG_1076,9.91,training
MG_1153,8.46,training
MG_563,10.82,training
MG_394,10.82,training
MG_1306,10.77,training
MG_1427,8.22,training
MG_378,8.79,training
MG_948,8.38,training
MG_765,8.78,training
MG_1255,10.93,training
MG_1169,10.08,training
MG_896,9.61,training
MG_901,9.26,training
MG_805,9.91,training
MG_159,9.86,training
MG_1060,10.38,training
MG_271,9.81,training
MG_1337,8.04,training
MG_310,9.42,training
MG_1430,9.73,training
MG_1086,9.66,training
MG_661,9.6,training
MG_299,8.42,training
MG_953,9.04,training
MG_118,8.42,training
MG_1217,8.69,training
MG_1080,8.85,training
MG_724,9.48,training
MG_520,9.75,training
MG_876,7.56,training
MG_334,9.9,training
MG_938,11.18,training
MG_870,9.35,training
MG_309,9.86,training
MG_453,9.08,training
MG_1491,9.93,training
MG_1233,9.83,training
MG_1184,7.21,training
MG_1260,8.87,training
MG_1083,9.54,training
MG_906,9.45,training
MG_874,8.08,training
MG_1040,8.92,training
MG_50,8.8,training
MG_128,8.87,training
MG_102,10.36,training
MG_858,7.53,training
MG_436,9.09,training
MG_1070,10.7,training
MG_342,8.58,training
MG_634,9.48,training
MG_1226,9.92,training
MG_1140,8.76,training
MG_426,9.66,training
MG_174,8.92,training
MG_1422,8.53,training
MG_1024,8.73,training
MG_1148,8.16,training
MG_1120,9.19,training
MG_668,9.84,training
MG_389,9.81,training
MG_1191,10.3,training
MG_1320,7.61,training
MG_308,8.32,training
MG_843,8.41,training
MG_1200,9.54,training
MG_94,9.61,training
MG_875,11.27,training
MG_476,8.18,training
MG_439,9.75,training
MG_370,7.74,training
MG_264,9.5,training
MG_795,8.68,training
MG_499,9.6,training
MG_1235,9.78,training
MG_84,8.41,training
MG_239,9.1,training
MG_1118,9.48,training
MG_1329,10.35,training
MG_1452,8.31,training
MG_714,9.72,training
MG_827,8.86,training
MG_323,9.89,training
MG_945,9.1,training
MG_742,9.75,training
MG_122,9.71,training
MG_818,8.62,training
MG_369,9.4,training
MG_578,9.96,training
MG_1141,10.29,training
MG_908,9.7,training
MG_249,9.65,training
MG_879,10.11,training
MG_454,11.03,training
MG_514,8.59,training
MG_630,9.09,training
MG_1044,10.0,training
MG_155,9.58,training
MG_1051,8.51,training
MG_834,9.05,training
MG_151,9.47,training
MG_1062,8.42,training
MG_1404,9.28,training
MG_345,9.5,training
MG_754,9.13,training
MG_1327,9.11,training
MG_775,9.11,training
MG_988,10.47,training
MG_372,9.47,training
MG_813,9.58,training
MG_398,8.2,training
MG_881,8.61,training
MG_193,9.73,training
MG_1135,9.63,training
MG_1458,9.12,training
MG_408,8.6,training
MG_1342,8.93,training
MG_442,9.04,training
MG_487,9.56,training
MG_498,9.1,training
MG_847,9.1,training
MG_340,9.28,training
MG_1145-1-1,8.16,training
MG_1074,8.77,training
MG_54,9.63,training
MG_1437,11.11,training
MG_869,9.32,training
MG_245,10.01,training
MG_525,8.54,training
MG_660,9.63,training
MG_298,10.15,training
MG_1098,9.76,training
MG_1256,9.76,training
MG_616,9.33,training
MG_400,9.03,training
MG_928,9.52,training
MG_1150,8.55,training
MG_313,8.74,training
MG_1047,10.03,training
MG_734,9.14,training
MG_738,9.13,training
MG_1435,8.8,training
MG_1417,8.23,training
MG_716,10.65,training
MG_283,9.84,training
MG_382,9.26,training
MG_321,8.79,training
MG_770,9.1,training
MG_392,9.18,training
MG_1058,10.68,training
MG_633,7.36,training
MG_65,10.29,training
MG_1484,10.23,training
MG_202,8.34,training
MG_562,9.59,training
MG_395,9.39,training
MG_350,8.84,training
MG_696,8.97,training
MG_253,10.64,training
MG_743,9.07,training
MG_920,9.5,training
MG_806,8.85,training
MG_1444,9.34,training
MG_658,9.88,training
MG_507,9.53,training
MG_415,9.09,training
MG_332,9.06,training
MG_148,9.59,training
MG_1439,9.79,training
MG_902,10.5,training
MG_619,8.39,training
MG_995,8.59,training
MG_1451,10.19,training
MG_832,10.03,training
MG_1144,9.07,training
MG_349,8.82,training
MG_541,11.18,training
MG_455,9.08,training
MG_405,9.58,training
MG_56,8.92,training
MG_1205,9.66,training
MG_339,8.11,training
MG_1285,8.02,training
MG_246,8.68,training
MG_974,9.69,training
MG_1210,9.09,training
MG_379,9.71,training
MG_1102,8.99,training
MG_1272,9.0,training
MG_233,9.13,training
MG_213,9.25,training
MG_371,10.79,training
MG_1033,10.29,training
MG_456,9.35,training
MG_565,9.67,training
MG_1502,8.8,training
MG_472,9.42,training
MG_446,8.76,training
MG_1055,9.39,training
MG_1496,9.01,training
MG_146,8.75,training
MG_1297,8.45,training
MG_1162,8.94,training
MG_907,9.34,training
MG_1281,9.24,training
MG_141,10.46,training
MG_1288,8.51,training
MG_330,9.39,training
MG_555,10.85,training
MG_1126,9.28,training
MG_549,10.5,training
MG_1007,8.61,training
MG_890,8.61,training
MG_1011,8.62,training
MG_423,9.54,training
MG_961,9.62,training
MG_553,8.14,training
MG_828,9.34,training
MG_112,8.87,training
MG_92,8.3,training
MG_766,9.29,training
MG_399,9.28,training
MG_615,9.15,training
MG_1339,8.18,training
MG_338,10.56,training
MG_909,9.73,training
MG_1039,7.61,training
MG_287,9.47,training
MG_1031,10.08,training
MG_966,8.65,training
MG_1111,8.32,training
MG_751,9.04,training
MG_187,10.06,training
MG_1103,7.98,training
MG_61,7.33,training
MG_534,9.4,training
MG_1048,8.22,training
MG_915,9.29,training
MG_698,9.4,training
MG_1412,9.22,training
MG_780,9.35,training
MG_278,8.68,training
MG_1035,8.55,training
MG_849,8.1,training
MG_796,10.1,training
MG_871,9.0,training
MG_663,9.61,training
MG_1094,9.66,training
MG_1179,8.5,training
MG_792,8.32,training
MG_1282,9.11,training
MG_529,8.07,training
MG_74,9.84,training
MG_281,9.12,training
MG_558,8.96,training
MG_451,10.65,training
MG_503,10.18,training
MG_413,9.34,training
MG_354,10.3,training
MG_183,8.21,training
MG_324,8.51,training
MG_96,10.19,training
MG_364,9.69,training
MG_1497,8.39,training
MG_1248,9.57,training
MG_216,10.19,training
MG_621,9.42,training
MG_221,9.47,training
MG_579,10.4,training
MG_351,8.28,training
MG_360,9.45,training
MG_173,9.26,training
MG_931,8.82,training
MG_343,7.78,training
MG_1159,10.14,training
MG_991,9.93,training
MG_678,8.89,training
MG_1022,7.23,training
MG_690,8.73,training
MG_618,9.81,training
MG_1463,9.04,training
MG_376,9.54,training
MG_288,9.63,training
MG_540,9.31,training
MG_1101,10.43,training
MG_831,8.03,training
MG_863,8.78,training
MG_1166,9.4,training
MG_185,8.94,training
MG_110,9.27,training
MG_154,9.75,training
MG_1261,9.62,training
MG_769,9.12,training
MG_1321,10.2,training
MG_1066,7.61,training
MG_1236,9.45,training
MG_1131,9.91,training
MG_1259,10.07,training
MG_468,10.36,training
MG_845,9.74,training
MG_1054,9.65,training
MG_654,10.71,training
MG_757,8.99,training
MG_138,10.14,training
MG_259,10.48,training
MG_139,8.8,training
MG_1432,9.04,training
MG_790,9.16,training
MG_1317,9.0,training
MG_1222,9.17,training
MG_158,10.32,training
MG_1468,8.74,training
MG_1298,9.21,training
MG_1252,10.12,training
MG_99,10.4,training
MG_1466,8.08,training
MG_889,11.21,training
MG_1112,9.68,training
MG_517,10.72,training
MG_1157,9.42,training
MG_277,9.73,training
MG_52,9.31,training
MG_699,9.44,training
MG_1208,8.5,training
MG_406,10.22,training
MG_1187,9.96,training
MG_167,8.92,training
MG_258,8.92,training
MG_95,8.33,training
MG_1441,8.4,training
MG_375,8.98,training
MG_924,8.84,training
MG_546,8.9,training
MG_441,9.59,training
MG_976,9.55,training
MG_1089,9.86,training
MG_521,8.68,training
MG_1021,9.98,training
MG_1486,8.45,training
MG_736,10.09,training
MG_1178,8.25,training
MG_867,9.4,training
MG_956,8.37,training
MG_125,10.81,training
MG_235,8.99,training
MG_846,9.79,training
MG_1475,9.41,training
MG_427,8.48,training
MG_1110,8.54,training
MG_97,8.35,training
MG_1403,7.96,training
MG_642,9.43,training
MG_673,9.08,training
MG_1225,9.02,training
MG_1442,9.39,training
