,EW,group
MG_940,106.5336639,training
MG_92,66.23641696,training
MG_513,78.73274379,training
MG_471,96.3035092,training
MG_338,91.77447763,training
MG_510,83.16028538,training
MG_481,108.2235074,training
MG_948,88.62092972,training
MG_1492,86.17099857,training
MG_450,109.250604,training
MG_351,72.00931932,training
MG_689,74.10555517,training
MG_482,91.05492227,training
MG_214,106.03254,training
MG_490,78.04028614,training
MG_827,103.9899597,training
MG_823,62.95125616,training
MG_431,85.24286571,training
MG_410,110.8970554,training
MG_1002,78.44797549,training
MG_1072,91.91254213,training
MG_1088,94.54092883,training
MG_1047,76.82222182,training
MG_1196,98.68028304,training
MG_1452,82.64931771,training
MG_861,88.42480072,training
MG_375,130.4428589,training
MG_852,117.4260867,training
MG_326,106.1654432,training
MG_485,100.2351215,training
MG_156,104.5693144,training
MG_1194,101.9783471,training
MG_82,72.09663887,training
MG_494,99.52286356,training
MG_127,84.81834965,training
MG_580,74.07125449,training
MG_928,108.4712493,training
MG_999,72.51254504,training
MG_647,98.77963787,training
MG_276,68.46609404,training
MG_1496,85.73060757,training
MG_1280,90.61318748,training
MG_892,85.50220824,training
MG_456,125.3654403,training
MG_158,85.13189798,training
MG_547,90.85576809,training
MG_555,74.90955733,training
MG_422,99.49576679,training
MG_613,96.80157365,training
MG_692,73.13060947,training
MG_195,91.34350995,training
MG_814,99.20931522,training
MG_1301,93.83899345,training
MG_192,100.5680247,training
MG_648,111.6506037,training
MG_363,100.4286699,training
MG_97,75.59899619,training
MG_1270,83.8880272,training
MG_971,41.25577555,training
MG_901,109.3331847,training
MG_1052,92.58221945,training
MG_1187,64.86375759,training
MG_593,89.73060697,training
MG_795,117.7938286,training
MG_512,99.16028297,training
MG_651,97.25060584,training
MG_951,84.79533813,training
MG_443,96.02738022,training
MG_348,106.4738303,training
MG_1189,97.73060577,training
MG_1154,85.74093015,training
MG_1134,59.31141647,training
MG_353,106.7886689,training
MG_553,98.69304558,training
MG_504,113.4815711,training
MG_263,69.56286807,training
MG_175,91.29705835,training
MG_1031,113.777055,training
MG_1165,83.45447888,training
MG_1289,100.8531859,training
MG_361,62.52932074,training
MG_661,104.8764111,training
MG_1344,88.58996199,training
MG_577,92.13318725,training
MG_1103,75.35641559,training
MG_1039,75.93189937,training
MG_1070,103.1422179,training
MG_965,102.9796372,training
MG_758,86.14867203,training
MG_1069,76.90376384,training
MG_230,88.70351035,training
MG_56,94.54609011,training
MG_368,78.02480228,training
MG_141,85.9396398,training
MG_941,95.50072301,training
MG_1083,96.8222188,training
MG_952,91.11899386,training
MG_1008,84.06986104,training
MG_572,72.29835153,training
MG_610,89.22738124,training
MG_570,93.68415477,training
MG_360,87.90092983,training
MG_130,114.9718935,training
MG_1440,119.0518929,training
MG_659,98.97705719,training
MG_1303,115.182216,training
MG_466,77.77964103,training
MG_576,95.41576741,training
MG_112,103.0333147,training
MG_461,100.2622183,training
MG_244,93.87512248,training
MG_658,83.991253,training
MG_1463,114.4609258,training
MG_274,113.3744744,training
MG_957,111.6041521,training
