,SAI,group
MG_1116,4.04,training
MG_70,2.64,training
MG_577,0.93,training
MG_332,1.86,training
MG_912,3.57,training
MG_215,4.35,training
MG_1133,3.42,training
MG_1098,4.81,training
MG_850,5.12,training
MG_488,0.31,training
MG_252,3.57,training
MG_848,4.35,training
MG_1066,2.59,training
MG_1489,5.86,training
MG_1415,1.55,training
MG_940,1.55,training
MG_143,2.48,training
MG_417,4.81,training
MG_369,2.79,training
MG_355,2.79,training
MG_327,2.33,training
MG_622,6.99,training
MG_1317,4.5,training
MG_698,3.42,training
MG_1067,4.66,training
MG_158,4.66,training
MG_1043,6.68,training
MG_361,3.88,training
MG_543,2.79,training
MG_155,2.17,training
MG_1301,2.79,training
MG_805,1.71,training
MG_101,2.95,training
MG_741,2.48,training
MG_916,1.71,training
MG_1112,3.73,training
MG_566,0.62,training
MG_863,5.28,training
MG_745,4.81,training
MG_279,1.86,training
MG_121,2.33,training
MG_1313,1.4,training
MG_387,3.42,training
MG_59,5.12,training
MG_1480,2.48,training
MG_56,2.17,training
MG_1051,3.73,training
MG_565,2.48,training
MG_1481,4.04,training
MG_324,1.55,training
MG_935,3.1,training
MG_788,2.17,training
MG_1298,5.28,training
MG_272,2.02,training
MG_419,2.02,training
MG_1120,2.02,training
MG_551,0.77,training
MG_119,1.55,training
MG_1297,1.71,training
MG_999,4.5,training
MG_907,0.0,training
MG_1236,0.15,training
MG_768,5.44,training
MG_216,1.4,training
MG_695,2.95,training
MG_1479,4.97,training
MG_713,6.21,training
MG_619,2.02,training
MG_96,1.08,training
MG_200,4.66,training
MG_413,3.73,training
MG_270,2.02,training
MG_582,0.93,training
MG_435,4.04,training
MG_703,3.88,training
MG_499,4.35,training
MG_1106,4.19,training
MG_915,1.55,training
MG_1444,2.95,training
MG_1319,5.75,training
MG_177,0.31,training
MG_1400,1.86,training
MG_610,0.77,training
MG_733,1.55,training
MG_1506,1.71,training
MG_757,2.15,training
MG_1428,4.35,training
MG_546,0.93,training
MG_957,3.57,training
MG_1071,2.64,training
MG_1062,3.57,training
MG_507,4.19,training
MG_1412,3.42,training
MG_627,3.1,training
MG_286,1.24,training
MG_1226,2.79,training
MG_1316,1.55,training
MG_731,2.48,training
MG_348,2.17,training
MG_1107,0.93,training
MG_462,1.55,training
MG_313,2.48,training
MG_824,3.88,training
MG_568,3.81,training
MG_615,0.62,training
MG_802,0.77,training
MG_1183,3.73,training
MG_1202,2.95,training
MG_283,2.02,training
MG_1090,2.95,training
MG_1447,8.87,training
MG_187,1.86,training
MG_1002,4.61,training
MG_661,3.1,training
MG_1433,2.33,training
MG_557,1.08,training
MG_371,3.88,training
MG_714,4.5,training
MG_925,4.35,training
MG_375,1.86,training
MG_784,1.24,training
MG_1345,3.88,training
MG_675,0.77,training
MG_550,3.42,training
MG_1069,-0.47,training
MG_210,3.88,training
MG_978,2.02,training
MG_660,1.4,training
MG_179,1.55,training
MG_1213,4.16,training
MG_301,2.64,training
MG_1050,2.02,training
MG_1163,4.5,training
MG_1495,0.62,training
MG_526,5.9,training
MG_289,2.33,training
MG_971,3.57,training
MG_112,0.15,training
MG_689,1.71,training
MG_975,2.33,training
MG_1164,3.26,training
MG_760,3.1,training
MG_1460,2.33,training
MG_1052,3.26,training
MG_393,1.71,training
MG_406,4.04,training
MG_1311,4.19,training
MG_591,2.48,training
MG_139,2.95,training
MG_902,0.32,training
MG_1130,1.86,training
MG_351,2.79,training
MG_342,3.1,training
MG_952,1.86,training
MG_52,0.62,training
MG_1011,4.66,training
MG_1406,1.24,training
MG_1490,1.55,training
MG_1407,3.1,training
MG_821,4.35,training
MG_1200,4.5,training
MG_333,3.42,training
MG_452,2.02,training
MG_1055,4.35,training
MG_1128,1.4,training
MG_726,3.1,training
MG_494,2.33,training
MG_903,0.93,training
MG_243,3.03,training
MG_592,4.04,training
MG_100,2.95,training
MG_269,2.64,training
MG_1240,3.45,training
MG_99,3.57,training
MG_917,3.57,training
MG_1394,3.42,training
MG_696,2.48,training
MG_763,2.79,training
MG_253,2.48,training
MG_1505,3.26,training
MG_904,2.79,training
MG_156,3.42,training
MG_1441,4.18,training
MG_1249,3.73,training
MG_1009,1.86,training
MG_1279,3.57,training
MG_811,3.73,training
MG_1510,7.92,training
MG_1442,2.33,training
MG_1471,3.26,training
MG_586,2.33,training
MG_687,2.33,training
MG_786,3.73,training
MG_1344,0.46,training
MG_1186,2.86,training
MG_1108,6.98,training
MG_942,3.26,training
MG_1015,2.02,training
MG_1294,1.71,training
MG_810,2.02,training
MG_127,1.4,training
MG_959,2.34,training
MG_456,4.04,training
MG_729,2.02,training
MG_642,3.57,training
MG_1395,5.84,training
MG_448,1.24,training
MG_1296,3.26,training
MG_979,2.95,training
MG_334,1.71,training
MG_1434,2.95,training
MG_478,2.48,training
MG_785,1.08,training
MG_666,1.55,training
MG_1425,4.81,training
MG_1458,1.08,training
MG_719,3.1,training
MG_1001,1.71,training
MG_657,2.02,training
MG_1292,1.71,training
MG_818,1.24,training
MG_1024,5.12,training
MG_792,2.64,training
MG_71,3.42,training
MG_1203,3.73,training
MG_325,2.79,training
MG_211,3.1,training
MG_83,3.26,training
MG_230,4.5,training
MG_1036,1.37,training
MG_140,3.57,training
MG_1282,5.28,training
MG_349,2.53,training
MG_677,3.42,training
MG_1138,3.88,training
MG_1339,2.95,training
MG_595,2.33,training
MG_1497,2.33,training
MG_799,3.42,training
MG_1168,4.19,training
MG_720,2.64,training
MG_323,2.79,training
MG_896,2.17,training
MG_868,3.88,training
MG_110,3.1,training
MG_701,1.4,training
MG_404,1.86,training
MG_823,3.88,training
MG_509,3.26,training
MG_353,2.48,training
MG_104,1.71,training
MG_973,3.73,training
MG_926,2.17,training
MG_728,4.35,training
MG_184,1.55,training
MG_80,2.95,training
MG_362,2.17,training
MG_718,3.57,training
MG_1074,3.45,training
MG_1190,4.04,training
MG_721,4.66,training
MG_322,2.02,training
MG_412,1.71,training
MG_65,1.08,training
MG_590,2.02,training
MG_424,4.19,training
MG_1225,4.97,training
MG_646,2.17,training
MG_62,2.48,training
MG_1290,4.19,training
MG_1047,1.4,training
MG_1199,1.71,training
MG_804,2.17,training
MG_251,1.08,training
MG_1198,2.17,training
MG_833,2.02,training
MG_1404,6.21,training
MG_842,3.57,training
MG_502,1.55,training
MG_640,2.33,training
MG_1167,3.1,training
MG_1054,2.64,training
MG_876,3.26,training
MG_626,2.33,training
MG_124,3.73,training
MG_1272,2.79,training
MG_781,2.79,training
MG_832,1.24,training
MG_629,4.19,training
MG_772,2.17,training
MG_1307,8.73,training
MG_312,1.86,training
MG_317,6.83,training
MG_1411,2.33,training
MG_755,1.08,training
MG_228,2.17,training
MG_506,3.88,training
MG_634,2.79,training
MG_293,1.4,training
MG_504,1.08,training
MG_1171,4.19,training
MG_547,2.79,training
MG_229,2.17,training
MG_1420,2.64,training
MG_254,4.19,training
MG_299,1.86,training
MG_752,2.79,training
MG_1239,2.95,training
MG_1427,2.64,training
MG_1293,3.57,training
MG_135,1.08,training
MG_316,2.64,training
MG_276,3.57,training
MG_596,0.15,training
MG_497,1.71,training
MG_609,2.79,training
MG_318,3.57,training
MG_1450,5.59,training
MG_965,3.42,training
MG_185,3.1,training
MG_1035,3.57,training
MG_93,6.68,training
MG_1340,2.64,training
MG_1448,2.33,training
MG_649,2.64,training
MG_1437,2.17,training
MG_221,2.79,training
MG_1242,3.42,training
MG_1270,2.17,training
MG_354,1.55,training
MG_671,2.17,training
MG_470,2.48,training
MG_326,2.17,training
MG_174,2.95,training
MG_1082,2.48,training
MG_986,2.48,training
MG_1041,2.33,training
MG_1300,0.0,training
MG_255,2.17,training
