,100grainweight,group
CML116,25.69202026,training
BY804,22.51432647,training
4019,21.12896487,training
5213,24.73182652,training
CIMBL23,20.41827509,training
07KS4,23.84819636,training
CML426,27.6563302,training
W138,28.27425155,training
CIMBL123,17.88358323,training
YE8001,22.55278456,training
SI273,23.57337168,training
CIMBL100,25.38598646,training
CIMBL84,22.24238965,training
BY4839,19.33241432,training
CML479,23.67585742,training
CML304,22.48934101,training
CIMBL94,21.77255089,training
GEMS16,23.05523531,training
CML361,20.9730748,training
ZH68,21.22352016,training
CML118,22.07390776,training
XZ698,22.57474579,training
LIAO5263,23.59411284,training
GEMS4,23.05523531,training
SHEN5003,18.93894229,training
CML192,17.90493442,training
WU109,20.094957,training
GEMS21,20.6721623,training
ZHENG35,20.33287031,training
CIMBL59,27.08594828,training
LIAO5114,19.43612012,training
K10,23.07353584,training
DAN4245,23.57251474,training
CIMBL5,19.28173265,training
WH413,19.67403344,training
CIMBL147,24.36463671,training
GEMS5,23.77015721,training
CML432,23.30678676,training
SC55,20.13460921,training
CML360,21.49498535,training
B77,17.81247469,training
CIMBL145,20.36625869,training
XI502,20.05426486,training
CIMBL151,20.34725427,training
JIAO51,18.41126276,training
GEMS6,24.00846451,training
CIMBL121,21.79857372,training
LY042,26.21969979,training
ES40,22.15077206,training
CIMBL29,21.9586113,training
CHANG3,20.07055563,training
CIMBL108,22.19397337,training
TY5,22.4588393,training
J4112,25.56697441,training
CIMBL137,20.73745019,training
GEMS19,22.57862071,training
JY01,26.1464957,training
647,11.7898896,training
CIMBL71,23.89851988,training
GEMS55,20.9104696,training
S37,24.27064071,training
7327,23.40988253,training
GEMS61,19.4806258,training
LIAO159,28.0833541,training
JH96C,26.5289871,training
CML454,21.89150755,training
CIMBL111,24.51705835,training
B73,19.18005976,training
9642,23.86970102,training
HUA83-2,19.93858153,training
CIMBL125,19.99735153,training
CIMBL96,25.25889602,training
CIMBL56,23.19376831,training
CML415,25.17349124,training
268,18.86634823,training
RY713,24.00846451,training
GEMS63,21.6253915,training
GEMS35,23.53184991,training
GEMS14,22.57862071,training
XUN971,25.62346007,training
CIMBL105,22.42262803,training
BY815,20.6721623,training
18-599,24.74680625,training
SI446,20.9104696,training
GY386,24.00846451,training
BY855,20.99244131,training
CML327,20.33523173,training
CIMBL75,27.35680344,training
B110,22.93527597,training
HTH-17,27.42967861,training
CIMBL102,22.90111405,training
ZHENG32,21.83965465,training
CML496,22.2087253,training
TY4,25.34735097,training
CIMBL54,26.45456294,training
GEMS65,21.3870842,training
LXN,27.31532111,training
GEMS58,25.43830831,training
CIMBL140,27.6563302,training
CML69,25.43580592,training
CML20,26.23495065,training
GEMS66,24.24677181,training
CIMBL2,24.865424,training
CIMBL63,20.78551565,training
CIMBL89,21.11371401,training
B114,26.76161346,training
ZHONG69,23.31593727,training
CIMBL92,21.4278816,training
CML162,19.80397071,training
CIMBL62,22.99261918,training
CIMBL157,21.24743374,training
GEMS39,23.05523531,training
GEMS48,23.53184991,training
ZZ03,23.68073769,training
P178,19.99105471,training
GEMS3,19.2423185,training
HYS,20.42952075,training
GEMS41,22.57862071,training
GY462,22.74494531,training
CIMBL91,22.13857138,training
SY1128,18.44481464,training
CIMBL38,22.61922842,training
GEMS17,20.6721623,training
CML31,21.45533313,training
CIMBL99,24.42314924,training
BY4960,18.72655928,training
CML470,24.32757722,training
GEMS29,23.53184991,training
TIAN77,20.40660559,training
CIMBL109,25.47417653,training
CML114,27.56177491,training
GEMS54,20.1955477,training
GY798,19.7189331,training
CIMBL70,21.5010857,training
835B,18.79497424,training
975-12,24.04589619,training
BY813,22.57862071,training
TY11,25.19972271,training
GEMS18,22.57862071,training
CIMBL7,25.14481963,training
YE478,23.83609229,training
CIMBL42,28.74219098,training
CIMBL1,22.72725432,training
GEMS46,24.72338641,training
