,Cobdiameter,group
R15,2.168987892,training
ZONG31,2.029204297,training
CML169,2.341107881,training
GEMS50,2.256599307,training
CIMBL50,1.91540889,training
CML432,2.213646051,training
CIMBL139,2.654480114,training
7381,2.38688123,training
CML114,2.133075289,training
CIMBL149,2.324361071,training
GEMS18,2.458337082,training
CIMBL69,1.99872866,training
P178,2.186709613,training
CIMBL27,2.228765506,training
GEMS17,2.160773864,training
BY855,2.300915537,training
LV28,2.077810817,training
BY809,2.064948421,training
BS16,2.248070049,training
GEMS44,2.450267571,training
CIMBL7,2.632316294,training
IRF314,1.867731393,training
CIMBL81,2.601613809,training
GEMS39,2.089156954,training
Q1261,2.885565272,training
LX9801,2.524578484,training
GEMS5,2.547101703,training
CIMBL59,2.518810139,training
CML360,2.274120642,training
GY1007,2.729075639,training
CIMBL119,2.378323013,training
LIAO159,2.720330082,training
7884-4HT,2.159769554,training
CML130,2.171268879,training
CIMBL145,2.295844904,training
526018,2.702466819,training
CIMBL10,2.336269913,training
CIMBL129,2.202853663,training
CML290,2.024412912,training
CIMBL90,1.791440371,training
CHANG3,2.031664052,training
TY1,2.373485046,training
J4112,2.241223109,training
GEMS37,2.201121419,training
TY5,2.533882268,training
GEMS54,2.127823361,training
CIMBL151,2.430052048,training
GEMS61,2.382685416,training
XI502,2.391062207,training
CML162,2.448690103,training
835B,2.423353324,training
CML172,2.431726729,training
CML118,1.900108558,training
4019,2.539092386,training
CML324,2.288076316,training
HYS,2.154978168,training
ZHENG29,2.046177954,training
CML480,2.436006469,training
CIMBL4,2.488345475,training
CIMBL137,2.151682855,training
CIMBL96,2.386696418,training
81162,2.184432172,training
CIMBL56,2.233742223,training
CML470,2.278772533,training
CIMBL133,2.131028456,training
GEMS62,2.166825997,training
CIMBL143,2.121166446,training
GEMS3,2.241468974,training
K10,1.943092036,training
GEMS64,2.106977124,training
GEMS59,2.363184098,training
CIMBL25,2.171587855,training
CIMBL43,2.615556761,training
CIMBL92,2.09697661,training
GEMS66,2.660074857,training
BY4839,2.030361523,training
CIMBL66,1.901225012,training
MO113,1.921135108,training
CIMBL15,2.401768547,training
LIAO5262,3.068663725,training
