,Eardiameter,group
XUN971,4.042796496,training
L3180,4.24924592,training
CIMBL150,3.835252817,training
CIMBL115,3.908932646,training
CML486,3.966563404,training
CIMBL139,4.140169432,training
CIMBL70,3.606188791,training
CIMBL50,3.095385714,training
CIMBL87,3.014561643,training
CML496,3.549469912,training
CIMBL59,3.751359941,training
LIAO138,4.347364109,training
CIMBL60,3.811908712,training
JI842,3.147916739,training
BY4839,3.691358298,training
CIMBL54,3.944313555,training
4019,4.068693861,training
05W002,3.847777212,training
HYS,3.429716503,training
S22,3.665492175,training
JIAO51,3.914869703,training
CIMBL56,3.461382393,training
CIMBL101,3.836711823,training
CIMBL157,3.209703767,training
CML480,3.584486069,training
B114,3.468677426,training
CIMBL71,3.790753117,training
CML163,3.76230249,training
07KS4,4.070361536,training
GEMS42,3.986588897,training
CML116,3.932276751,training
CML114,3.557676824,training
DONG46,3.930278803,training
CML20,3.516824641,training
DH3732,3.792029748,training
CIMBL19,3.701936095,training
GEMS17,3.451427693,training
LV28,3.472324942,training
CIMBL127,3.47633721,training
CIMBL52,3.59360486,training
Q1261,4.208758488,training
CIMBL2,4.297575511,training
CIMBL102,3.719991301,training
CML172,3.783640461,training
TY3,4.058480816,training
CML432,3.586309827,training
EN25,3.889783186,training
GEMS10,3.67846578,training
BY855,3.600717517,training
CIMBL53,3.799324781,training
ZAC546,3.609653932,training
CIMBL81,3.780540072,training
CIMBL27,3.648245567,training
LX9801,3.899813856,training
K14,3.407782917,training
CIMBL40,3.444421442,training
ZB648,4.101521508,training
BY807,3.620961232,training
TIAN77,3.863506034,training
FCD0602,4.092220342,training
CML324,3.616401837,training
CIMBL28,3.648245567,training
GEMS15,3.247093415,training
CIMBL114,3.698835706,training
CIMBL124,3.47633721,training
CHUAN48-2,3.874463617,training
CIMBL100,3.76667951,training
SI446,3.655716646,training
CIMBL92,3.48636788,training
CIMBL69,3.131282166,training
CIMBL98,3.660719161,training
RY713,3.869826453,training
R15X1141,3.81592098,training
GEMS50,3.801715027,training
S37,3.852899307,training
DONG237,2.982645875,training
ZHENG35,3.655430262,training
CML298,3.66785715,training
CIMBL62,3.064532617,training
CML433,3.50642922,training
LIAO5262,4.706097339,training
CML134,3.833246683,training
SY1039,3.362899452,training
CIMBL116,3.268064028,training
ZH68,3.434026021,training
D863F,4.111187427,training
ZHENG28,4.297393135,training
BY815,3.807472941,training
XZ698,4.309612315,training
SY1052,3.8316053,training
CML426,4.023099907,training
5237,4.220065789,training
CML470,3.637375056,training
GEMS14,3.942802981,training
CIMBL11,3.930452993,training
SI434,3.837905716,training
CML423,3.354510165,training
177,3.664731428,training
CIMBL105,3.845817231,training
CIMBL156,3.440409174,training
CML130,3.620049353,training
MO113,3.282289342,training
CIMBL111,3.503259938,training
CIMBL133,3.398827488,training
B111,3.315116989,training
5213,4.019817143,training
CIMBL23,3.512812373,training
BY809,3.310339739,training
CIMBL22,3.410317165,training
SI273,4.254352443,training
CIMBL108,3.814477077,training
CIMBL99,3.984071483,training
CIMBL106,3.823398389,training
7381,3.898526717,training
ZZ01,3.732757608,training
CML327,3.220281564,training
CIMBL13,4.219518662,training
GEMS4,3.871772494,training
CIMBL58,3.392079583,training
SHEN5003,3.477796217,training
CML171,3.830875797,training
BY813,3.855231147,training
CIMBL47,3.402110253,training
SY1032,3.47828821,training
GEMS55,3.675222378,training
GEMS44,3.977831714,training
YU374,3.320953015,training
XI502,3.879238571,training
CIMBL86,3.226596541,training
GEMS40,3.840635842,training
GEMS46,3.772524416,training
CML411,3.937018522,training
GY923,3.529642187,training
CIMBL75,3.935924267,training
GEMS62,3.611003034,training
GEMS54,3.4708881,training
WH413,3.620778857,training
CIMBL145,3.71174974,training
K22,4.499830291,training
CML323,3.550654597,training
81162,3.432202263,training
CIMBL49,3.737499379,training
CML122,2.515946162,training
YE52106,3.890877441,training
526018,3.988083751,training
LIAO159,4.274049031,training
CIMBL77,3.475790083,training
J4112,3.638206305,training
GEMS20,3.957398286,training
CIMBL84,3.572133949,training
CIMBL93,3.337366838,training
GEMS51,3.911990669,training
GEMS41,4.001184203,training
LXN,3.924252215,training
GEMS31,3.821175434,training
TY4,3.853490398,training
CIMBL143,3.489468269,training
GEMS5,3.894151962,training
CML189,3.495669047,training
GEMS56,3.782254619,training
K10,3.555557492,training
TY6,4.137084793,training
CIMBL43,3.763761497,training
TY11,4.009239345,training
K12,3.492386282,training
CML69,3.499681315,training
647,2.557710224,training
HTH-17,3.506976347,training
835B,3.86516245,training
JH96C,4.15769326,training
CIMBL38,3.928629234,training
QI205,4.081460169,training
CIMBL51,3.449328086,training
CA47,3.704124605,training
CIMBL66,3.07966981,training
CIMBL82,3.650323739,training
JH59,4.000485306,training
B151,3.769232771,training
DAN360,4.221889547,training
GEMS37,3.971993592,training
NAN21-3,3.560412461,training
CIMBL125,3.648499981,training
CML32,3.578671143,training
CML360,3.434755524,training
GEMS1,4.010914407,training
GEMS64,3.67846578,training
GEMS2,3.490348508,training
CIMBL91,3.798230526,training
CIMBL152,3.666190435,training
GEMS19,3.665492175,training
CML361,3.439132543,training
LIAO5114,3.47633721,training
CIMBL95,3.378948524,training
GEMS48,4.218167746,training
CIMBL149,3.898172473,training
MO17,3.320953015,training
CIMBL137,3.412323299,training
303WX,3.873186986,training
CML422,3.181435515,training
CIMBL144,3.670425333,training
GEMS58,4.100107941,training
GY386,3.719981316,training
CIMBL94,3.480349478,training
CIMBL68,3.356333923,training
SY1035,4.110751452,training
CIMBL74,3.37566576,training
CHANG3,3.366729345,training
GEMS3,3.456292795,training
1462,4.340433828,training
ZHI41,3.749536183,training
7327,3.754642706,training
CIMBL109,3.597815783,training
CIMBL48,3.68515752,training
W138,3.504427295,training
CIMBL121,3.50989436,training
GEMS59,3.788741422,training
CHENG698,3.840724091,training
SY3073,3.678409615,training
M97,4.238460816,training
CIMBL142,3.892260181,training
CML31,3.365270338,training
SW92E114,3.802607546,training
CIMBL129,3.565518984,training
LIAO5263,4.315083589,training
150,3.814461974,training
GEMS29,3.552621812,training
CML338,3.727468709,training
CIMBL1,3.641752076,training
DAN599,4.134713907,training
GEMS61,3.945722042,training
BY4944,3.979254055,training
CML304,3.1724991,training
CIMBL83,3.833154775,training
GEMS66,4.210383583,training
CML479,3.866256705,training
CIMBL42,3.823398389,training
GEMS65,3.918477471,training
CIMBL46,3.864068196,training
GY798,3.634704236,training
ZONG31,3.401233015,training
HZS,3.621953285,training
ZHENG30,3.748077176,training
RY729,3.54872973,training
CIMBL32,3.422353969,training
GEMS32,3.509808915,training
LK11,3.242472584,training
YE515,4.036778094,training
CIMBL122,3.490562524,training
CML431,3.915498176,training
CIMBL120,3.682057131,training
CIMBL119,3.634639419,training
CIMBL9,3.505152589,training
ES40,4.313077455,training
CIMBL55,3.573725896,training
05WN230,4.046444012,training
JY01,4.249610671,training
B113,3.34903889,training
ZZ03,3.718532294,training
CML325,3.931911999,training
CIMBL25,3.367091208,training
YE8001,3.560777213,training
4F1,3.611660066,training
BS16,3.701024216,training
CML192,3.83379381,training
GEMS16,3.952533184,training
CIMBL90,2.775284572,training
CML170,3.565336608,training
CIMBL29,3.489468269,training
ZHENG29,3.747712425,training
CIMBL5,3.533238465,training
238,3.708501624,training
CML115,3.620414105,training
CIMBL141,3.560731046,training
GEMS18,3.962263388,training
SC55,4.1890619,training
GEMS33,3.934045797,training
BY804,3.585033197,training
GY1032,3.328977551,training
CML162,3.579926674,training
CIMBL96,3.802607546,training
CML169,3.552935053,training
DAN3130,3.407581527,training
GEMS11,3.697926187,training
GEMS63,3.917504451,training
7884-4HT,3.486550256,training
JI63,3.671114582,training
B11,3.612754321,training
B73,3.613691826,training
GEMS60,3.688195983,training
JI853,4.241495942,training
CIMBL151,3.749900935,training
LY042,3.433843645,training
DAN340,4.267848253,training
CML165,3.44059155,training
SY1128,3.922793209,training
CML454,3.54345151,training
CML50,3.703942229,training
DAN4245,4.303958665,training
CIMBL153,3.631356654,training
8902,3.471413063,training
CIMBL7,4.074347512,training
975-12,4.25246909,training
CIMBL63,3.70303035,training
GEMS21,3.684952582,training
LG001,3.407626703,training
ZHENG32,3.129093656,training
CML290,3.347534633,training
P178,3.390349832,training
CIMBL16,4.198727818,training
GEMS36,4.040105018,training
TY1,3.916227679,training
ZHENG653,3.694823438,training
835A,4.269307259,training
CIMBL18,3.604729785,training
ZHONG69,3.973493685,training
BY4960,3.323871028,training
CIMBL79,3.595428618,training
GEMS39,3.720954336,training
CML139,2.633396187,training
GEMS28,3.422237082,training
Z2018F,4.115199695,training
HUA83-2,3.013670786,training
GEMS35,3.573055239,training
CIMBL140,3.816285732,training
TY5,4.127783626,training
CI7,3.862105207,training
CIMBL88,3.95455981,training
JI846,3.575914406,training
GEMS23,3.822472795,training
B77,3.276284026,training
GY1007,4.028571182,training
268,3.66728469,validation
9642,3.968751914,validation
18-599,4.500924546,validation
B110,3.644122961,validation
BZN,3.1166921,validation
CIMBL10,3.684975144,validation
CIMBL113,3.637010304,validation
CIMBL12,3.677497735,validation
CIMBL123,3.165204068,validation
CIMBL147,4.147844966,validation
CIMBL15,3.707954497,validation
CIMBL17,3.556582569,validation
CIMBL21,3.789658862,validation
CIMBL3,3.606188791,validation
CIMBL4,3.70303035,validation
CIMBL6,3.623332118,validation
CIMBL89,3.363410677,validation
CML118,3.195478453,validation
CML121,3.033711104,validation
CML191,3.647405726,validation
CML415,3.473236821,validation
CML493,3.673303092,validation
GEMS13,3.592515647,validation
GEMS25,3.80949919,validation
GEMS30,3.642139686,validation
GEMS49,3.899017064,validation
GEMS6,3.767659314,validation
GEMS9,3.719008295,validation
GY462,3.721450307,validation
IRF314,3.428189995,validation
M153,4.262741823,validation
R15,3.331895564,validation
TIE7922,3.870510171,validation
TY2,4.05392142,validation
U8112,3.569332294,validation
WU109,3.707407369,validation
YE478,3.796042016,validation
