,Plantheight,group
GEMS9,188.7595957,training
ZZ01,185.822949,training
CML32,164.4742518,training
CIMBL12,187.457827,training
XZ698,161.3719057,training
CIMBL79,145.0417389,training
JY01,201.2623311,training
CIMBL111,137.3807688,training
TY4,175.3443736,training
CIMBL121,201.4279683,training
B111,183.1955773,training
CIMBL139,158.4046176,training
CIMBL19,197.1329235,training
CML115,188.637452,training
GEMS18,217.6330908,training
SY1039,181.3220487,training
CML324,175.1976822,training
CML360,205.4226502,training
CIMBL60,175.6015268,training
GEMS54,183.4902137,training
CML114,195.5050255,training
U8112,166.0142901,training
TY5,167.3320753,training
LIAO5262,194.0330148,training
JIAO51,198.3660198,training
CIMBL40,171.7077783,training
CIMBL71,190.9028594,training
J4112,160.1124709,training
GEMS33,216.2431601,training
CML170,167.1777391,training
5237,136.7789351,training
CIMBL83,107.1977917,training
ZHI41,179.1771854,training
YE515,152.3095007,training
CML338,183.4970481,training
R15,155.6048502,training
CIMBL4,177.0431798,training
CIMBL101,182.9727703,training
647,143.4828657,training
JI853,162.4077199,training
CML290,176.0237632,training
303WX,126.0282494,training
CML20,194.9667876,training
CHUAN48-2,178.6544587,training
B113,175.4002139,training
CIMBL22,193.6624085,training
GEMS10,183.5996432,training
CIMBL116,179.0481102,training
P178,153.0295517,training
CIMBL100,167.8426146,training
ZB648,168.0789385,training
07KS4,190.0986049,training
835A,176.0687456,training
CIMBL16,171.7248406,training
M97,176.4448916,training
M153,167.5407007,training
GEMS44,175.7807311,training
WH413,131.3158987,training
BS16,175.9940703,training
CML169,197.6495564,training
CIMBL98,167.1045042,training
CML325,159.2905274,training
GEMS23,179.6737727,training
CIMBL74,161.2594497,training
526018,174.651024,training
LX9801,172.0577769,training
CIMBL1,184.7092465,training
GEMS1,215.4506789,training
GEMS59,206.0997542,training
GY1007,150.6275352,training
CIMBL91,183.7188579,training
RY713,160.2593586,training
GEMS48,204.2774005,training
ZHENG29,165.4459162,training
CIMBL86,186.9290662,training
CIMBL11,191.7676075,training
HUA83-2,171.9836556,training
TIAN77,147.6678919,training
CML69,173.0510462,training
CIMBL99,152.695729,training
CIMBL145,161.2163508,training
9642,161.4207433,training
K10,161.1919761,training
CML423,156.1741104,training
CML162,197.8828889,training
CML454,197.4982117,training
Q1261,165.9987789,training
GEMS62,195.1841646,training
ZZ03,178.9034131,training
LIAO138,182.1801492,training
LIAO5263,164.8797583,training
CML50,189.4546694,training
SY1052,168.6101963,training
CML411,163.4219293,training
DH3732,157.9385067,training
GEMS28,190.9390072,training
K12,163.6963663,training
CIMBL113,189.5060779,training
CML431,181.1447781,training
LY042,184.6045461,training
CML433,151.6483922,training
CIMBL95,178.0969427,training
CHENG698,172.8190433,training
GY923,165.2222284,training
EN25,186.3208578,training
B77,191.8236209,training
YU374,164.196491,training
GEMS55,185.6699782,training
CML496,167.7769137,training
CIMBL140,146.7909565,training
835B,161.3850902,training
Z2018F,178.3946465,training
CIMBL27,162.4980171,training
CIMBL46,164.1453041,training
CML192,149.2600034,training
CIMBL10,180.2614166,training
4019,185.0797421,training
CIMBL123,178.7273613,training
CML163,204.6248218,training
8902,148.3083927,training
CML470,165.01393,training
SI434,119.8731479,training
CIMBL108,184.7258874,training
CML323,152.576293,training
XUN971,155.2700304,training
CML171,218.9284533,training
CIMBL122,195.7220712,training
CIMBL124,194.0119639,training
GEMS64,206.9425376,training
TY6,169.4066952,training
DAN4245,202.6525757,training
SY1032,190.8099498,training
FCD0602,192.3516033,training
CIMBL152,136.8805333,training
CML172,202.314432,training
L3180,182.2670835,training
GY798,186.3385206,training
CIMBL102,158.298366,training
CIMBL84,165.2535777,training
TY2,166.4944718,training
05WN230,202.6145733,training
HTH-17,132.5412817,training
GY462,188.2256303,training
JH96C,196.1301259,training
GEMS49,216.4779039,training
150,199.406862,training
CIMBL51,189.57917,training
DAN599,171.8008453,training
ZHENG32,156.4451128,training
CIMBL82,192.1476313,training
CIMBL62,166.1277433,training
DAN360,189.4556666,training
TY11,189.0221292,training
CML191,154.6436004,training
CIMBL68,175.9158497,training
NAN21-3,171.4581121,training
CIMBL32,177.300333,training
CML118,158.928009,training
CML139,180.1125093,training
B73,173.3193895,training
B11,158.4496,training
IRF314,168.144861,training
CML480,186.8102354,training
CML122,173.3183924,training
CIMBL7,203.9337989,training
GEMS20,205.5932017,training
GEMS19,200.6141608,training
DONG237,128.100321,training
CIMBL47,162.1839158,training
GEMS30,176.0772497,training
YE52106,168.3503841,training
WU109,140.6877516,training
CIMBL151,160.6654824,training
CIMBL42,176.8272421,training
CIMBL109,189.6411106,training
JH59,196.7183319,training
B114,178.8692885,training
CIMBL17,167.3146806,training
