,Silkingtime,group
R15X1141,68.8139,training
SI446,72.6968,training
ZH68,65.8159,training
P178,73.2038,training
SY1035,71.5977,training
150,69.5634,training
BY804,75.4217,training
CML360,76.3089,training
5213,67.4219,training
CIMBL70,77.5937,training
CIMBL133,72.6684,training
CIMBL88,72.5614,training
QI205,73.0967,training
CML298,78.3432,training
CIMBL62,72.026,training
CIMBL77,73.9533,training
GEMS32,72.3962,training
CIMBL96,69.9916,training
B114,70.2058,training
BS16,71.5977,training
K10,64.531,training
LG001,70.527,training
ZHENG30,68.2785,training
CML172,77.8078,training
ZHENG653,73.3109,training
CIMBL106,73.3109,training
CML189,70.4199,training
CML170,73.9533,training
GY462,67.7432,training
GEMS54,73.5199,training
YE515,71.7048,training
CIMBL147,71.3836,training
CIMBL122,70.527,training
BY4960,73.0967,training
CIMBL58,71.7048,training
303WX,63.8886,training
CML116,70.527,training
7884-4HT,69.7775,training
B111,68.7068,training
268,71.2765,training
CIMBL5,74.5957,training
GEMS64,74.6435,training
GEMS60,69.7742,training
CIMBL129,72.13307,training
CIMBL9,76.4159,training
CML422,68.7068,training
WH413,66.6724,training
CIMBL13,78.5573,training
CML304,74.1674,training
CML171,77.0583,training
CIMBL47,66.7795,training
CIMBL125,71.2765,training
GEMS50,72.7707,training
GEMS18,72.3962,training
YE8001,68.9209,training
GEMS14,70.5234,training
LIAO159,70.9553,training
ZAC546,66.6724,training
CIMBL95,69.028,training
CML423,68.3856,training
CIMBL27,76.7371,training
CIMBL82,74.8099,training
TY11,69.5634,training
B73,73.8462,training
CIMBL28,73.8462,training
SI273,65.9229,training
CIMBL4,72.7755,training
CIMBL144,75.7735,training
CML290,77.9149,training
JY01,70.4199,training
S22,71.206,training
CIMBL87,69.8846,training
R15,71.4906,training
LV28,71.1694,training
SW92E114,74.3816,training
D863F,70.8482,training
GEMS62,69.0251,training
CML493,74.7028,training
YE52106,71.2765,training
CIMBL150,72.7755,training
B110,73.9533,training
CML115,71.2765,training
GEMS51,73.8944,training
GEMS58,70.5234,training
GEMS4,72.3962,training
GEMS9,72.7707,training
ZHENG28,72.4543,training
GY923,72.7047,training
BY815,74.3318,training
ZHENG32,72.4543,training
MO17,71.1694,training
GEMS6,70.8979,training
CML32,76.7371,training
CIMBL2,72.9896,training
SI434,71.4706,training
XI502,64.9593,training
CIMBL142,73.2038,training
B151,73.0967,training
CIMBL137,76.3834,training
CIMBL123,69.7775,training
18-599,73.6321,training
CIMBL114,75.3452,training
GEMS41,72.3962,training
07KS4,75.3452,training
SY3073,72.13307,training
CIMBL79,71.0624,training
CIMBL92,69.7775,training
U8112,71.7048,training
M97,67.3149,training
GEMS21,73.8944,training
CIMBL50,68.7456,training
CIMBL43,72.4543,training
