,Tasselbranchnumber,group
7381,9.297792375,training
CIMBL84,6.094717326,training
CIMBL56,13.95466254,training
GEMS5,10.53944358,training
XI502,3.494816349,training
HTH-17,4.099470428,training
CIMBL12,13.9234258,training
5213,3.512805366,training
GEMS3,3.486255088,training
1462,11.73294927,training
CIMBL99,8.765458771,training
DONG46,10.93318315,training
CML122,12.08045802,training
CIMBL89,7.242667596,training
GEMS13,12.33947605,training
CIMBL102,12.52948619,training
J4112,4.68008987,training
CIMBL9,6.817066986,training
CIMBL90,3.783198414,training
CIMBL105,10.96608725,training
CML121,13.93709188,training
GEMS1,8.59246967,training
8902,3.818339749,training
YE8001,8.199292822,training
CML338,11.72904467,training
CML192,8.175865265,training
IRF314,3.792959896,training
GEMS28,5.958019804,training
BY815,6.184358,training
BY4944,7.453515605,training
CIMBL13,11.45181859,training
CIMBL96,12.76376175,training
CML290,14.79805458,training
05WN230,4.532880223,training
18-599,10.05006979,training
CIMBL114,6.047862213,training
GEMS61,11.64150428,training
GEMS9,11.01700321,training
GEMS48,5.417485269,training
TIAN77,13.56810786,training
CIMBL144,6.924164387,training
CML486,9.42923954,training
ZAC546,8.731990833,training
CIMBL47,4.466502146,training
GEMS35,7.637350396,training
CIMBL108,14.00036037,training
MO113,2.684055553,training
CIMBL109,11.41250927,training
GEMS16,8.81288181,training
CIMBL150,10.43662447,training
GEMS18,12.27335241,training
CML422,13.80238343,training
CIMBL49,9.218391531,training
U8112,7.406102693,training
CML479,14.93081073,training
CML32,12.17026366,training
GY462,10.95649311,training
268,6.981059882,training
CIMBL91,4.482120518,training
CIMBL137,4.707610749,training
CIMBL28,16.65859303,training
ZH68,5.473887078,training
GEMS40,14.06603782,training
GEMS14,8.996558594,training
CML189,7.128876607,training
CIMBL16,10.10863868,training
CML191,11.23901828,training
CIMBL54,11.97503402,training
TY2,9.921218227,training
CIMBL153,11.20192465,training
4F1,9.530758951,training
K14,9.653280436,training
CIMBL3,10.06568816,training
GEMS4,5.874053274,training
GEMS55,8.041439319,training
CML118,10.0958093,training
CIMBL92,3.940497722,training
CIMBL75,8.203197414,training
CML323,5.47277148,training
CML134,9.973093531,training
303WX,4.334303792,training
CIMBL74,13.59599781,training
CI7,5.79317544,training
CML411,10.33510506,training
CML115,11.94770187,training
CIMBL50,6.568255968,training
SY1052,16.55902591,training
CIMBL38,9.060255524,training
CIMBL22,11.68218956,training
CML139,12.21711877,training
CIMBL125,13.95856714,training
CIMBL66,12.20540499,training
177,8.25953511,training
YU374,9.288674201,training
SHEN5003,9.753320738,training
CIMBL4,11.17849709,training
CIMBL156,9.17544101,training
TY11,6.041726424,training
CIMBL133,11.6626666,training
CIMBL147,10.79194241,training
Z2018F,4.972425808,training
CIMBL95,14.30607589,training
NAN21-3,11.19467326,training
GEMS37,11.27415071,training
JI846,6.225521183,training
GEMS36,11.78319779,training
LV28,9.155918047,training
CML426,13.8687615,training
DAN3130,3.04132579,training
150,7.008392031,training
05W002,4.852017942,training
CIMBL15,9.478883648,training
GEMS54,9.5843243,training
P178,6.11424029,training
GY386,9.928637993,training
CIMBL29,13.41582874,training
M97,6.396486566,training
GY923,9.026077115,training
TY6,7.672172799,training
JH59,3.993070275,training
CML165,9.030971079,training
CIMBL143,6.337080976,training
CIMBL82,9.815794223,training
RY729,15.52247575,training
CIMBL46,9.382384427,training
CIMBL98,12.87699494,training
GEMS62,6.503802246,training
CIMBL7,11.32296703,training
CML114,12.56964771,training
GEMS32,9.657795014,training
SI273,10.44833825,training
WU109,6.443899478,training
CIMBL106,11.51763887,training
LIAO5262,9.722083997,training
CML163,13.57201245,training
CML361,8.378904088,training
CIMBL139,9.932932006,training
BY804,7.578462573,training
GEMS29,5.380749913,training
TY1,10.66141745,training
CIMBL71,9.409716575,training
DH3732,13.0097511,training
YE478,11.46353237,training
GEMS31,8.37205753,training
CIMBL17,8.761554178,training
LIAO159,5.825300426,training
GEMS59,4.367903649,training
7884-4HT,5.834225209,training
GEMS63,8.4822636,training
S37,9.545261724,training
GEMS60,8.849617167,training
CML169,15.76639358,training
835B,6.680964038,training
CIMBL100,10.94422153,training
D863F,7.422278863,training
CML496,13.48220682,training
CIMBL124,17.02367245,training
CIMBL127,16.87920252,training
K22,7.285060317,training
BY807,12.10779017,training
7327,14.10694166,training
CIMBL70,10.93641234,training
CIMBL6,7.820547324,training
ZZ03,7.734646283,training
CIMBL94,5.293718012,training
CML454,13.60715379,training
B151,12.77157094,training
CIMBL69,11.88913298,training
CML20,6.813162393,training
CIMBL55,11.47134155,training
SI434,6.665141034,training
B113,4.700777712,training
LIAO5114,4.261232127,training
BY813,4.783531069,training
CIMBL88,6.172809181,training
CIMBL51,10.02333768,training
4019,7.781501396,training
JIAO51,17.29700222,training
238,9.749416145,training
CIMBL2,7.137243592,training
GY1032,13.70476861,training
GEMS50,8.041439319,training
CIMBL53,10.19063513,training
CHANG3,5.114664544,training
CIMBL122,11.94770187,training
CML170,8.511660242,training
SY1032,6.061248405,training
CIMBL116,11.79932734,training
GEMS41,10.79659107,training
CIMBL113,13.71257779,training
526018,5.61835701,training
CML325,9.850935558,training
ZZ01,7.336377822,training
CIMBL77,3.906890335,training
CML480,22.14649815,training
CIMBL86,9.214748033,training
FCD0602,5.317703367,training
DAN360,5.946342801,training
CML415,7.843974881,training
R15X1141,3.477664031,training
JI63,7.578462573,training
R15,5.965865765,training
LIAO5263,4.827398077,training
CIMBL81,10.61233115,training
GEMS20,12.02722552,training
CIMBL151,10.47957499,training
TY5,9.691683953,training
GEMS42,13.84562568,training
SC55,17.85144612,training
SY1035,12.47897345,training
MO17,4.084688755,training
CML493,12.40844381,training
XUN971,7.047437958,training
DONG237,4.966290019,training
JH96C,8.898214925,training
CIMBL149,10.24920402,training
GEMS10,4.937301678,training
CIMBL59,9.548608518,training
CIMBL121,10.97936286,training
CIMBL140,6.127627465,training
ZHENG653,6.590600606,training
CML116,12.08241032,training
LK11,7.555035017,training
EN25,8.257861714,training
GEMS33,12.48641748,training
GEMS23,9.988413225,training
835A,10.01102386,training
CIMBL23,19.4757567,training
CIMBL60,12.0375075,training
CIMBL115,8.687366916,training
81162,3.933525235,training
CIMBL157,14.18503352,training
BY809,7.669686192,training
CIMBL101,12.32644736,training
CIMBL10,9.362861462,training
GEMS2,6.204671485,training
CIMBL63,9.843126372,training
JY01,6.659767678,training
CIMBL87,9.370670649,training
CIMBL19,9.58542325,training
SW92E114,9.347243092,training
ZHONG69,8.800600106,training
CIMBL48,7.445706419,training
ZHI41,11.15897413,training
ZHENG35,8.054822889,training
GEMS21,8.849617167,training
CML130,11.35420377,training
CIMBL42,4.001855609,training
CIMBL68,10.90908019,training
CML69,10.61623574,training
SI446,8.31728637,training
CIMBL111,11.80323194,training
S22,7.42492392,training
CML171,10.60452196,training
CIMBL43,10.41710151,training
CIMBL1,10.53814388,training
GEMS39,7.395946623,training
GEMS58,10.20882536,training
CHUAN48-2,11.79151816,training
CIMBL62,13.08784295,training
W138,5.173985169,training
CHENG698,4.12485028,training
HYS,6.083003548,training
CML431,16.87334563,training
CIMBL129,12.25616469,training
B11,9.155918047,training
LY042,4.301393653,training
CIMBL21,6.925279985,training
CIMBL27,13.0058465,training
YE52106,6.204045923,training
CML324,15.28222408,training
LIAO138,9.530758951,training
GEMS30,7.857762536,training
CML50,8.800600106,training
TIE7922,4.578619739,training
CML433,10.4210061,training
647,17.84754152,training
GY1007,15.40131416,training
JI842,4.992598843,training
TY3,7.737993077,training
DAN4245,9.20277316,training
CIMBL142,9.854840149,training
CIMBL58,15.05966229,training
CML470,16.05533345,training
GEMS65,7.380202899,training
GEMS46,7.931233249,training
CML298,13.45877926,training
ZHENG28,7.250476782,training
L3180,6.368038819,training
LX9801,7.617508501,training
CIMBL40,16.37997245,training
5237,3.914002272,training
BY855,7.484752347,training
ZHENG29,7.925971329,training
JI853,8.699080694,training
B73,5.559788118,training
GEMS49,5.952771896,training
GEMS15,13.58847818,training
GEMS17,8.555734313,training
B77,11.42843921,training
ES40,8.61513195,training
GEMS25,7.563879682,training
HZS,10.98326746,training
CIMBL120,6.973250696,training
QI205,3.384372154,training
YE515,5.044381874,training
CIMBL5,12.24835551,training
GEMS6,12.78030033,training
GEMS19,10.83332643,training
RY713,9.260640959,training
975-12,6.084676944,training
BY4960,10.88955723,training
ZONG31,6.496866972,training
WH413,7.19190789,training
CA47,8.663939359,training
GEMS64,10.90679714,training
Q1261,6.465653638,training
CML432,4.833533866,training
GY798,13.14624203,training
CIMBL32,12.83404442,training
CML31,8.246147935,training
GEMS11,6.314877555,training
BS16,10.56547603,training
CIMBL119,15.64144661,training
07KS4,5.141438894,training
CML162,12.29521062,training
CIMBL79,9.722083996,training
LG001,5.872155539,training
BY4839,10.13597083,training
CIMBL18,9.807985036,training
CIMBL52,17.12519186,training
9642,9.671324291,validation
B110,8.023586147,validation
B111,12.37330248,validation
B114,7.535512053,validation
BZN,2.530939737,validation
CIMBL11,13.93513958,validation
CIMBL123,13.62277216,validation
CIMBL141,5.536360562,validation
CIMBL145,5.801872869,validation
CIMBL152,11.37372673,validation
CIMBL25,11.10430983,validation
CIMBL83,10.34681884,validation
CIMBL93,12.87113805,validation
CML172,9.745511554,validation
CML304,13.47439763,validation
CML327,8.513612538,validation
CML360,13.12298429,validation
CML423,15.26074882,validation
DAN340,8.585847504,validation
DAN599,4.624359254,validation
GEMS44,5.317775016,validation
GEMS51,5.46996435,validation
GEMS56,6.886899537,validation
GEMS66,7.967968606,validation
HUA83-2,10.40148314,validation
K10,6.465653638,validation
K12,3.384929953,validation
LXN,10.24920402,validation
M153,10.64747248,validation
SY1039,7.676077392,validation
SY1128,17.15196621,validation
SY3073,7.676077392,validation
TY4,8.800600106,validation
XZ698,4.582524331,validation
ZB648,9.077826192,validation
ZHENG30,7.890829994,validation
ZHENG32,4.763251196,validation
