,GL-2019LS,group
ER075,7.067,training
ER415,6.77,training
ER361,7.282,training
ER280,8.971,training
ER386,7.01,training
ER263,7.672,training
ER030,6.742,training
ER284,7.728,training
ER197,8.86,training
ER108,6.866,training
ER425,6.77,training
ER061,7.096,training
ER021,6.579,training
ER337,7.923,training
ER105,6.79,training
ER378,7.139,training
ER051,6.999,training
ER055,6.979,training
ER198,9.077,training
ER249,9.379,training
ER266,10.307,training
ER006,7.064,training
ER309,7.314,training
ER189,9.766,training
ER383,7.638,training
ER286,9.346,training
ER152,6.862,training
ER024,7.229,training
ER217,8.855,training
ER141,7.365,training
ER296,7.157,training
ER324,7.381,training
ER182,7.979,training
ER262,9.638,training
ER348,9.413,training
ER369,7.241,training
ER408,7.658,training
ER088,7.323,training
ER111,6.776,training
ER009,6.688,training
ER225,8.922,training
ER223,9.406,training
ER098,6.614,training
ER020,6.72,training
ER228,7.359,training
ER043,7.29,training
ER209,7.354,training
ER130,6.606,training
ER218,7.776,training
ER385,6.802,training
ER057,6.987,training
ER034,6.656,training
ER295,12.206,training
ER342,6.729,training
ER421,7.3,training
ER325,7.722,training
ER298,7.44,training
ER242,8.407,training
ER346,7.817,training
ER250,7.722,training
ER212,8.239,training
ER388,7.113,training
ER316,8.33,training
ER086,7.204,training
ER423,7.207,training
ER203,8.315,training
ER200,7.748,training
ER044,6.56,training
ER167,6.642,training
ER354,9.569,training
ER224,7.675,training
ER118,6.466,training
ER310,6.985,training
ER312,7.898,training
ER319,7.28,training
ER265,8.66,training
ER271,8.928,training
ER001,6.204,training
ER213,9.22,training
ER109,6.607,training
ER121,6.93,training
ER113,6.633,training
ER129,6.687,training
ER279,7.817,training
ER411,6.345,training
ER438,7.594,training
ER015,6.47,training
ER374,8.447,training
ER122,7.046,training
ER427,6.944,training
ER303,7.595,training
ER401,7.702,training
ER420,7.086,training
ER256,7.543,training
ER064,7.088,training
ER311,7.662,training
ER435,7.123,training
ER321,7.809,training
ER062,6.946,training
ER381,7.555,training
ER329,8.576,training
ER297,7.103,training
ER347,8.203,training
ER301,7.142,training
ER215,7.356,training
ER037,7.111,training
ER245,8.888,training
ER368,8.542,training
ER360,7.69,training
ER431,6.756,training
ER089,6.418,training
ER366,7.335,training
ER362,7.94,training
ER127,6.549,training
ER418,6.695,training
ER219,9.848,training
ER335,9.716,training
ER253,9.414,training
ER243,7.461,training
ER161,6.519,training
ER192,8.737,training
ER424,7.079,training
ER181,7.728,training
ER258,7.197,training
ER237,7.45,training
ER274,7.465,training
ER174,9.235,training
ER028,7.158,training
ER367,7.724,training
ER134,6.69,training
ER343,7.607,training
ER306,7.285,training
ER156,7.196,training
ER031,7.365,training
ER355,7.098,training
ER133,6.243,training
ER112,6.809,training
ER126,6.867,training
ER371,7.339,training
ER071,6.896,training
ER363,7.154,training
ER377,7.478,training
ER010,6.323,training
ER171,6.656,training
ER080,6.917,training
ER326,7.086,training
ER190,7.409,training
ER046,6.961,training
ER240,7.677,training
ER066,6.819,training
ER248,7.709,training
ER349,7.544,training
ER307,7.827,training
ER432,6.873,training
ER012,6.712,training
ER251,7.53,training
ER247,7.463,training
ER148,6.679,training
ER035,6.81,training
ER282,7.411,training
ER079,6.731,training
ER336,8.597,training
ER158,6.776,training
ER023,6.477,training
ER025,6.764,training
ER439,7.099,training
ER412,6.153,training
ER017,6.842,training
ER389,9.311,training
ER308,7.417,training
ER395,6.926,training
ER038,6.778,training
ER007,6.495,training
ER065,7.341,training
ER357,7.924,training
ER320,8.78,training
ER102,7.034,training
ER231,9.007,training
ER160,7.727,training
ER269,8.796,training
ER294,8.602,training
ER233,8.646,training
ER014,6.564,training
ER407,7.888,training
ER091,6.537,training
ER100,6.868,training
ER399,6.712,training
ER430,6.923,training
ER270,7.826,training
ER097,6.755,training
ER078,7.242,training
ER123,7.933,training
ER162,6.677,training
ER054,6.722,training
ER099,6.957,training
ER041,6.575,training
ER338,7.351,training
ER179,7.447,training
ER117,6.901,training
ER350,7.93,training
ER053,6.744,training
ER287,7.677,training
ER036,6.973,training
ER234,7.934,training
ER375,9.263,training
ER273,7.574,training
ER149,5.959,training
ER094,7.279,training
ER077,7.122,training
ER422,6.772,training
ER052,6.65,training
ER070,6.962,training
ER005,8.253,training
ER087,7.008,training
ER187,8.321,training
ER164,6.96,training
ER437,9.011,training
ER104,6.689,training
ER147,6.834,training
ER314,8.174,training
ER433,6.592,training
ER176,9.152,training
ER045,6.442,training
ER216,7.464,training
ER246,8.923,training
ER300,8.78,training
ER166,7.336,training
ER159,6.779,training
ER193,6.986,training
ER084,6.913,training
ER402,7.035,training
ER288,7.818,training
ER344,8.855,training
ER230,7.603,training
ER186,7.575,training
ER440,7.302,training
ER229,7.689,training
ER302,8.526,training
ER137,6.902,training
ER081,6.676,training
ER220,7.542,training
ER116,6.605,training
ER201,7.62,training
ER027,7.102,training
ER195,8.559,training
ER405,7.531,training
ER033,6.726,training
ER194,8.562,training
ER398,6.98,training
ER120,6.868,training
ER032,7.525,training
ER255,8.078,training
ER151,6.602,training
ER352,7.683,training
ER340,7.289,training
ER299,9.958,training
ER131,6.396,training
ER177,7.588,training
ER093,7.431,training
ER068,7.025,training
ER210,8.127,training
ER434,7.349,training
ER202,9.164,training
ER183,7.444,training
ER132,6.686,training
ER207,7.511,training
ER370,7.722,training
ER004,7.588,training
ER150,6.859,training
ER406,7.509,training
ER332,7.739,training
ER074,7.012,training
ER429,6.665,training
ER056,6.605,training
ER206,7.794,training
ER048,7.432,training
ER124,6.635,training
ER090,6.979,training
ER313,7.637,training
ER076,7.336,training
ER063,7.027,training
ER305,7.953,training
ER267,8.161,training
ER356,7.925,training
ER128,6.726,training
ER204,9.942,training
ER416,6.758,training
ER328,7.658,training
ER153,6.926,training
ER170,6.328,training
ER291,8.593,training
ER285,7.35,training
ER221,8.304,training
ER040,6.478,training
ER353,8.093,training
ER039,6.568,training
ER339,7.751,training
ER413,7.402,training
ER165,8.321,training
ER018,7.319,training
ER276,7.159,training
ER191,6.847,training
ER331,7.093,training
ER239,9.307,training
ER157,7.422,training
ER049,6.848,training
ER238,7.913,training
ER106,6.885,training
ER272,7.514,training
ER244,7.483,training
ER232,7.303,training
ER260,9.144,training
ER073,6.872,training
ER155,6.978,training
ER373,7.723,training
ER236,7.669,training
ER114,6.778,training
ER404,6.943,training
ER175,7.746,training
ER016,6.601,training
ER254,8.079,training
ER140,6.508,training
ER019,6.599,training
ER393,6.96,training
ER396,6.867,training
ER096,6.765,training
ER400,7.637,training
ER085,6.976,training
ER384,7.35,training
ER146,6.796,training
ER013,6.297,training
ER026,6.461,training
ER235,6.888,training
ER379,7.223,training
ER419,6.281,training
ER323,7.443,training
ER110,6.507,training
ER143,7.206,training
ER327,7.63,training
ER103,6.584,training
ER382,7.33,training
ER172,8.222,training
ER135,6.253,training
ER139,6.783,training
ER257,7.225,training
ER214,7.437,training
ER184,6.577,training
ER394,7.005,training
ER222,7.052,training
ER180,8.478,training
ER414,7.168,training
ER154,6.541,training
ER138,6.781,training
ER144,6.658,training
ER397,7.186,training
ER283,7.559,training
ER259,7.973,training
ER196,8.638,training
ER173,9.306,training
ER264,8.078,training
ER095,6.186,training
ER050,6.478,training
ER292,8.56,training
ER226,7.557,training
ER330,8.488,training
ER268,9.769,training
ER428,7.229,training
ER188,8.453,training
ER029,6.376,training
ER275,7.249,training
ER252,7.644,training
ER208,6.679,validation
ER322,7.309,validation
ER392,6.396,validation
ER083,7.123,validation
ER351,7.147,validation
ER178,6.916,validation
ER136,6.809,validation
ER199,7.546,validation
ER101,6.65,validation
ER436,9.437,validation
ER358,7.509,validation
ER092,7.242,validation
ER281,8.338,validation
ER042,6.089,validation
ER211,6.833,validation
ER067,6.761,validation
ER333,7.572,validation
ER277,7.261,validation
ER125,7.286,validation
ER409,7.265,validation
ER334,6.828,validation
ER022,6.944,validation
ER011,6.641,validation
ER341,8.125,validation
ER390,7.424,validation
ER115,7.303,validation
ER227,8.53,validation
ER278,6.967,validation
ER145,6.571,validation
ER293,8.933,validation
ER391,7.812,validation
ER082,7.76,validation
ER359,7.852,validation
ER169,6.855,validation
ER372,7.574,validation
ER008,6.259,validation
ER364,7.345,validation
ER376,7.82,validation
ER380,8.273,validation
ER289,8.186,validation
ER241,9.206,validation
ER261,9.025,validation
