,SLW-2019LS,group
ER343,1.7,training
ER419,1.58,training
ER037,1.46,training
ER219,1.64,training
ER370,1.78,training
ER167,2.12,training
ER282,1.3,training
ER151,1.52,training
ER421,1.7,training
ER113,1.6,training
ER339,1.68,training
ER275,1.64,training
ER132,1.34,training
ER081,1.44,training
ER287,1.54,training
ER050,1.24,training
ER208,1.24,training
ER059,1.18,training
ER312,1.02,training
ER039,1.44,training
ER279,1.56,training
ER158,1.34,training
ER240,1.62,training
ER349,1.72,training
ER425,1.6,training
ER420,1.32,training
ER388,1.72,training
ER141,1.14,training
ER184,1.14,training
ER175,1.68,training
ER017,1.34,training
ER028,1.26,training
ER280,1.54,training
ER202,1.62,training
ER284,1.54,training
ER152,1.22,training
ER342,1.68,training
ER006,1.52,training
ER197,1.56,training
ER256,1.58,training
ER074,1.34,training
ER253,1.88,training
ER125,1.32,training
ER395,1.36,training
ER004,0.98,training
ER182,1.5,training
ER140,1.46,training
ER118,1.16,training
ER195,1.6,training
ER114,1.68,training
ER022,1.32,training
ER231,1.46,training
ER055,1.32,training
ER048,1.46,training
ER291,1.76,training
ER309,1.56,training
ER181,1.68,training
ER135,1.4,training
ER137,1.28,training
ER418,1.48,training
ER289,1.82,training
ER086,1.12,training
ER394,1.38,training
ER346,1.72,training
ER084,1.26,training
ER273,1.0,training
ER332,1.68,training
ER402,1.3,training
ER366,1.86,training
ER415,1.52,training
ER324,1.76,training
ER269,1.5,training
ER303,1.7,training
ER027,1.38,training
ER023,1.54,training
ER041,1.26,training
ER354,1.48,training
ER276,1.46,training
ER015,1.74,training
ER204,1.66,training
ER326,2.26,training
ER236,1.54,training
ER330,1.68,training
ER213,1.7,training
ER381,1.2,training
ER097,1.18,training
ER356,1.46,training
ER061,1.48,training
ER344,1.76,training
ER247,1.74,training
ER369,1.7,training
ER430,1.48,training
ER164,1.14,training
ER307,1.64,training
ER357,1.58,training
ER122,1.54,training
ER267,1.4,training
ER064,1.5,training
ER201,0.88,training
ER404,1.3,training
ER297,1.84,training
ER327,1.36,training
ER062,1.2,training
ER186,1.3,training
ER429,1.8,training
ER412,1.84,training
ER434,1.56,training
ER100,1.46,training
ER306,1.4,training
ER277,1.52,training
ER347,1.66,training
ER360,2.1,training
ER075,1.74,training
ER115,1.58,training
ER244,1.3,training
ER320,1.18,training
ER040,1.58,training
ER329,1.78,training
ER286,1.46,training
ER120,1.78,training
ER426,1.675,training
ER270,1.8,training
ER108,1.12,training
ER076,1.56,training
ER423,1.7,training
ER085,1.64,training
ER066,1.16,training
ER383,0.82,training
ER299,1.56,training
ER159,1.7,training
ER300,1.32,training
ER228,1.45,training
ER319,1.34,training
ER116,1.48,training
ER391,1.52,training
ER043,1.5,training
ER071,1.14,training
ER144,1.3,training
ER241,1.9,training
ER189,1.6,training
ER136,1.3,training
ER432,1.74,training
ER172,1.74,training
ER262,1.54,training
ER372,1.92,training
ER106,1.3,training
ER316,1.8,training
ER063,1.5,training
ER178,1.78,training
ER272,1.94,training
ER098,1.54,training
ER102,1.46,training
ER399,1.44,training
ER258,1.58,training
ER211,2.12,training
ER174,1.56,training
ER147,1.24,training
ER194,1.72,training
ER242,1.68,training
ER077,1.12,training
ER414,1.52,training
ER199,1.86,training
ER210,0.98,training
ER128,1.36,training
ER018,1.06,training
ER089,1.32,training
ER157,1.24,training
ER110,1.36,training
ER403,1.5,training
ER377,1.9,training
ER025,1.82,training
ER439,1.74,training
ER020,1.32,training
ER390,1.72,training
ER315,1.44,training
ER322,1.44,training
ER424,1.62,training
ER162,1.4,training
ER171,1.26,training
ER146,1.14,training
ER367,1.7,training
ER305,1.12,training
ER334,2.24,training
ER143,1.56,training
ER198,1.42,training
ER362,1.16,training
ER296,1.32,training
ER192,1.42,training
ER350,1.28,training
ER235,1.62,training
ER150,1.34,training
ER294,1.68,training
ER010,1.4,training
ER079,1.78,training
ER013,1.78,training
ER155,1.48,training
ER053,1.475,training
ER032,1.22,training
ER051,1.52,training
ER292,1.6,training
ER251,1.48,training
ER153,1.24,training
ER021,1.46,training
ER221,1.62,training
ER093,1.18,training
ER212,1.68,training
ER375,1.54,training
ER234,1.76,training
ER333,1.62,training
ER139,1.2,training
ER379,1.44,training
ER068,1.4,training
ER438,1.84,training
ER295,1.64,training
ER035,1.46,training
ER209,1.65,training
ER229,1.44,training
ER046,1.36,training
ER331,2.26,training
ER359,1.78,training
ER243,1.5,training
ER156,1.24,training
ER264,1.14,training
ER215,1.14,training
ER067,1.44,training
ER133,1.12,training
ER177,1.9,training
ER239,1.92,training
ER411,1.7,training
ER179,2.02,training
ER217,1.72,training
ER278,1.58,training
ER310,1.86,training
ER078,1.26,training
ER254,1.48,training
ER105,1.24,training
ER393,1.34,training
ER397,1.46,training
ER250,1.42,training
ER396,1.28,training
ER080,1.2,training
ER311,1.5,training
ER065,1.12,training
ER361,1.76,training
ER044,1.72,training
ER031,1.44,training
ER127,1.28,training
ER293,1.38,training
ER134,1.34,training
ER249,1.74,training
ER285,1.6,training
ER340,2.32,training
ER248,1.82,training
ER364,1.54,training
ER409,1.45,training
ER083,1.52,training
ER433,1.74,training
ER265,1.6,training
ER054,1.18,training
ER246,1.52,training
ER187,1.66,training
ER335,2.02,training
ER117,1.84,training
ER337,1.72,training
ER401,1.3,training
ER160,1.72,training
ER014,1.68,training
ER436,1.66,training
ER226,1.5,training
ER238,1.7,training
ER088,1.28,training
ER378,1.52,training
ER363,1.42,training
ER271,1.9,training
ER376,1.76,training
ER180,1.82,training
ER274,1.88,training
ER260,1.44,training
ER049,1.54,training
ER131,1.38,training
ER019,1.52,training
ER007,1.48,training
ER058,1.78,training
ER308,1.7,training
ER263,1.96,training
ER358,1.82,training
ER380,1.8,training
ER030,1.06,training
ER314,1.82,training
ER011,1.42,training
ER323,1.6,training
ER223,1.8,training
ER214,1.78,training
ER266,1.54,training
ER232,1.88,training
ER145,1.5,training
ER428,1.62,training
ER169,1.48,training
ER126,1.18,training
ER008,1.42,training
ER173,1.6,training
ER012,1.26,training
ER392,1.24,training
ER353,1.48,training
ER200,1.38,training
ER413,1.74,training
ER148,1.32,training
ER161,1.14,training
ER206,1.42,training
ER029,1.2,training
ER149,1.24,training
ER437,1.76,training
ER321,1.62,training
ER056,1.46,training
ER042,1.44,training
ER094,1.62,training
ER302,1.5,training
ER016,1.8,training
ER385,1.38,training
ER099,1.52,training
ER288,1.54,training
ER130,1.34,training
