,Yield-2019LS,group
ER176,10.116,training
ER247,20.606,training
ER251,18.724,training
ER264,19.13,training
ER134,12.758,training
ER143,20.654,training
ER071,10.756,training
ER132,17.344,training
ER263,13.654,training
ER170,18.48,training
ER189,27.602,training
ER266,27.238,training
ER296,37.496,training
ER216,12.546,training
ER152,13.916,training
ER406,12.718,training
ER397,16.25,training
ER121,16.286,training
ER005,8.824,training
ER045,27.986,training
ER112,16.188,training
ER159,12.944,training
ER209,20.798,training
ER124,17.582,training
ER364,32.206,training
ER037,20.782,training
ER404,23.082,training
ER239,17.084,training
ER122,16.722,training
ER008,26.966,training
ER414,22.824,training
ER046,22.544,training
ER255,11.812,training
ER165,15.764,training
ER246,27.528,training
ER232,18.636,training
ER383,10.914,training
ER109,21.944,training
ER031,11.096,training
ER376,29.46,training
ER186,22.642,training
ER430,29.688,training
ER191,24.03,training
ER138,24.616,training
ER108,8.064,training
ER161,3.028,training
ER351,20.304,training
ER167,14.652,training
ER237,21.398,training
ER250,21.008,training
ER271,30.632,training
ER358,21.92,training
ER178,13.298,training
ER227,26.006,training
ER104,10.94,training
ER379,17.836,training
ER332,16.486,training
ER125,20.172,training
ER156,16.096,training
ER352,19.354,training
ER015,13.144,training
ER342,15.222,training
ER326,26.566,training
ER243,15.08,training
ER377,18.562,training
ER116,9.524,training
ER184,10.568,training
ER188,31.382,training
ER068,27.446,training
ER363,23.892,training
ER177,24.068,training
ER282,15.092,training
ER202,17.332,training
ER347,17.904,training
ER102,23.042,training
ER275,19.666,training
ER371,30.1,training
ER089,20.218,training
ER074,9.348,training
ER197,18.624,training
ER316,22.838,training
ER115,19.126,training
ER348,28.854,training
ER065,8.014,training
ER395,31.424,training
ER006,13.9166666666667,training
ER272,17.382,training
ER162,20.344,training
ER401,21.53,training
ER011,9.112,training
ER026,14.718,training
ER025,10.414,training
ER228,18.462,training
ER334,21.092,training
ER405,18.822,training
ER190,23.544,training
ER056,23.0266666666667,training
ER385,12.756,training
ER200,15.112,training
ER388,26.394,training
ER180,13.202,training
ER114,22.548,training
ER206,21.868,training
ER396,26.898,training
ER311,25.59,training
ER155,10.126,training
ER070,17.2766666666667,training
ER230,22.168,training
ER398,26.518,training
ER101,17.104,training
ER412,19.514,training
ER294,15.54,training
ER341,26.368,training
ER174,25.966,training
ER212,20.984,training
ER416,23.7333333333333,training
ER140,21.802,training
ER213,29.43,training
ER276,21.008,training
ER126,19.722,training
ER081,16.1,training
ER195,22.14,training
ER179,9.232,training
ER073,19.38,training
ER133,19.498,training
ER361,10.944,training
ER009,16.244,training
ER044,16.492,training
ER123,14.184,training
ER337,14.496,training
ER224,17.968,training
ER086,5.68,training
ER423,25.698,training
ER340,21.918,training
ER261,16.58,training
ER111,19.116,training
ER372,15.078,training
ER354,31.626,training
ER043,16.486,training
ER313,16.152,training
ER148,25.242,training
ER032,15.66,training
ER018,7.104,training
ER087,18.932,training
ER420,13.826,training
ER374,22.062,training
ER245,27.296,training
ER207,22.848,training
ER182,14.074,training
ER289,26.696,training
ER344,20.688,training
ER384,21.4,training
ER433,22.758,training
ER016,26.686,training
ER320,11.606,training
ER135,12.184,training
ER166,20.67,training
ER343,26.664,training
ER279,27.802,training
ER193,15.562,training
ER149,16.174,training
ER158,17.654,training
ER314,21.28,training
ER327,21.754,training
ER172,15.936,training
ER300,16.246,training
ER083,18.706,training
ER312,11.538,training
ER150,4.442,training
ER415,18.64,training
ER309,18.254,training
ER432,26.226,training
ER440,18.538,training
ER435,18.132,training
ER389,28.366,training
ER052,20.886,training
ER399,24.046,training
ER324,20.14,training
ER392,25.68,training
ER050,20.698,training
ER273,15.68,training
ER223,27.07,training
ER234,21.586,training
ER288,23.012,training
ER001,10.85,training
ER235,22.672,training
ER022,20.284,training
ER093,17.492,training
ER141,16.31,training
ER019,11.414,training
ER095,23.744,training
ER110,13.346,training
ER338,21.326,training
ER362,12.082,training
ER042,16.02,training
ER382,14.512,training
ER118,4.458,training
ER428,14.322,training
ER411,22.436,training
ER033,25.75,training
ER053,23.466,training
ER215,18.584,training
ER014,16.144,training
ER211,17.106,training
ER064,12.716,training
ER100,23.736,training
ER394,30.308,training
ER136,16.144,training
ER375,24.506,training
