,SL-LS2013,group
CH486,24.575,training
CH181,20.875,training
CH434,18.75,training
CH192,21.95,training
CH464,25.3,training
CH259,24.65,training
CH227,21.075,training
CH027,20.4,training
CH367,20.75,training
CH509,22.525,training
CH188,21.925,training
CH503,23.4,training
CH475,22.775,training
CH165,20.9,training
CH344,26.15,training
CH270,24.625,training
CH277,24.875,training
CH128,20.75,training
CH388,23.125,training
CH057,21.575,training
CH339,22.4,training
CH501,22.8,training
CH409,23.375,training
CH505,23.025,training
CH086,21.65,training
CH173,25.05,training
CH143,19.6,training
CH093,23.8,training
CH240,22.95,training
CH228,26.225,training
CH084,22.525,training
CH099,23.425,training
CH522,17.725,training
CH492,20.875,training
CH368,22.8,training
CH054,23.45,training
CH305,24.275,training
CH316,23.625,training
CH256,22.25,training
CH317,26.25,training
CH217,23.4,training
CH303,19.9,training
CH429,18.95,training
CH152,21.8,training
CH387,19.125,training
CH010,21.9,training
CH187,20.275,training
CH467,26.15,training
CH420,21.8,training
CH040,18.75,training
CH297,26.375,training
CH002,20.925,training
CH428,21.775,training
CH446,20.55,training
CH425,23.65,training
CH402,21.825,training
CH073,23.5,training
CH080,26.275,training
CH371,20.0,training
CH062,22.475,training
CH498,24.875,training
CH016,18.475,training
CH462,23.775,training
CH405,22.675,training
CH003,23.025,training
CH164,24.0,training
CH218,23.325,training
CH472,24.45,training
CH063,19.9,training
CH343,27.525,training
CH408,23.85,training
CH471,23.3,training
CH189,22.625,training
CH479,24.075,training
CH052,21.775,training
CH485,20.3,training
CH124,19.0,training
CH255,17.95,training
CH391,20.05,training
CH406,19.75,training
CH101,21.525,training
CH162,23.25,training
CH147,20.775,training
CH242,22.65,training
CH214,23.0,training
CH293,22.575,training
CH035,20.2,training
CH384,21.925,training
CH172,24.125,training
CH356,22.125,training
CH362,21.675,training
CH033,21.6,training
CH139,19.0,training
CH006,22.4,training
CH008,21.25,training
CH145,24.2,training
CH055,21.15,training
CH437,25.55,training
CH341,24.45,training
CH525,18.35,training
CH058,23.75,training
CH441,23.8,training
CH342,23.625,training
CH499,22.425,training
CH291,23.7,training
CH204,25.825,training
CH106,26.8,training
CH134,21.3,training
CH182,21.9,training
CH034,20.7,training
CH248,18.825,training
CH011,19.625,training
CH215,20.525,training
CH244,24.45,training
CH438,22.75,training
CH097,20.925,training
CH433,23.5,training
CH290,23.025,training
CH213,22.225,training
CH186,24.025,training
CH315,25.475,training
CH150,23.675,training
CH221,19.6,training
CH175,21.6,training
CH319,22.2,training
CH369,22.475,training
CH239,22.275,training
CH455,22.0,training
CH470,24.025,training
CH482,25.85,training
CH431,21.45,training
CH029,20.7,training
CH125,21.625,training
CH127,21.15,training
CH281,22.85,training
CH146,18.65,training
CH185,21.75,training
CH502,21.375,training
CH294,19.075,training
CH117,22.775,training
CH488,24.525,training
CH333,24.775,training
CH302,17.475,training
CH036,22.1,training
CH411,23.675,training
CH121,18.425,training
CH359,21.625,training
CH350,29.425,training
CH184,20.875,training
CH245,21.9,training
CH325,20.85,training
CH331,21.325,training
CH478,18.375,training
