,SLAR-LS2013,group
CH480,19.9643274853801,training
CH367,18.4791666666667,training
CH129,18.5681818181818,training
CH372,30.7977855477855,training
CH272,13.1571078431373,training
CH159,16.2541666666667,training
CH499,16.4109477124183,training
CH166,15.6153846153846,training
CH485,21.4363636363636,training
CH319,24.1391941391941,training
CH398,22.6381118881119,training
CH330,19.3095238095238,training
CH385,17.9196428571429,training
CH008,24.7948717948718,training
CH292,22.9001831501831,training
CH369,18.6669117647059,training
CH062,21.1928104575163,training
CH141,15.9785714285714,training
CH462,19.6619047619048,training
CH341,26.2410714285714,training
CH504,14.1198830409357,training
CH020,27.5320512820513,training
CH109,14.2624060150376,training
CH197,23.9272727272727,training
CH090,18.0860805860806,training
CH471,17.9669117647059,training
CH060,16.7125,training
CH455,17.7142857142857,training
CH329,28.0313852813853,training
CH064,14.5565476190476,training
CH130,18.3106060606061,training
CH353,21.6758241758242,training
CH073,21.9428571428571,training
CH501,19.7472527472527,training
CH217,20.7953431372549,training
CH041,24.1315018315018,training
CH145,14.0227038183695,training
CH051,18.2637362637363,training
CH119,19.0151515151515,training
CH456,23.1025641025641,training
CH152,18.8398692810458,training
CH083,15.9916666666667,training
CH416,9.42279411764706,training
CH182,14.0551470588235,training
CH491,12.8491341991342,training
CH059,24.5081585081585,training
CH046,20.6666666666667,training
CH280,17.4736842105263,training
CH239,13.5111111111111,training
CH283,13.6952380952381,training
CH072,15.8095238095238,training
CH469,23.3791208791209,training
CH338,23.480303030303,training
CH358,21.4454545454545,training
CH407,26.1025641025641,training
CH005,25.3909090909091,training
CH522,15.0583333333333,training
CH373,20.0904761904762,training
CH063,21.3939393939394,training
CH288,21.6666666666667,training
CH086,15.3235294117647,training
CH302,18.6,training
CH176,14.1845238095238,training
CH032,22.3351648351648,training
CH135,16.9469696969697,training
CH009,20.8863636363636,training
CH438,16.9904761904762,training
CH170,19.0659340659341,training
CH079,20.224358974359,training
CH111,13.9835164835165,training
CH350,19.6089743589744,training
CH349,21.9234432234432,training
CH013,25.8939393939394,training
CH208,24.6655011655012,training
CH258,15.2636904761905,training
CH036,17.2285714285714,training
CH486,21.7472527472527,training
CH397,17.823489010989,training
CH339,29.25,training
CH223,16.6625,training
CH227,23.956043956044,training
CH289,13.7549019607843,training
CH291,20.1583333333333,training
