,SLL-LS2013,group
CH369,29.5,training
CH182,23.3,training
CH215,25.7,training
CH313,31.6,training
CH187,23.1,training
CH328,19.3,training
CH453,24.3,training
CH150,25.2,training
CH213,28.8,training
CH133,20.4,training
CH272,20.9,training
CH372,36.0,training
CH198,30.8,training
CH461,31.7,training
CH175,21.4,training
CH058,21.6,training
CH126,23.7,training
CH256,28.2,training
CH382,26.8,training
CH358,22.7,training
CH140,27.1,training
CH345,28.0,training
CH357,39.22,training
CH123,26.9,training
CH475,26.2,training
CH438,25.2,training
CH433,30.4,training
CH040,23.6,training
CH522,23.2,training
CH454,25.9,training
CH503,27.5,training
CH444,31.0,training
CH384,34.9,training
CH186,19.5,training
CH011,25.7,training
CH018,28.3,training
CH093,28.7,training
CH471,29.0,training
CH034,24.1,training
CH176,21.5,training
CH052,30.4,training
CH257,25.5,training
CH183,27.0,training
CH048,22.1,training
CH375,39.4,training
CH497,25.4,training
CH157,24.9,training
CH030,24.7,training
CH212,21.0,training
CH283,19.7,training
CH468,28.6,training
CH495,22.8,training
CH057,23.7,training
CH121,22.5,training
CH132,22.0,training
CH271,22.1,training
CH062,37.3,training
CH297,32.5,training
CH275,34.2,training
CH459,25.8,training
CH127,21.2,training
CH482,33.1,training
CH197,25.8,training
CH243,30.0,training
CH247,20.6,training
CH165,22.4,training
CH281,17.2,training
CH043,31.6,training
CH339,34.5,training
CH014,30.7,training
CH413,22.4,training
CH041,33.8,training
CH221,31.0,training
CH280,32.5,training
CH193,24.0,training
CH421,22.8,training
CH076,23.1,training
CH469,32.3,training
CH122,26.8,training
CH005,27.4,training
CH417,28.0,training
CH111,19.0,training
CH154,24.1,training
CH260,25.3,training
CH400,39.0,training
CH010,35.7,training
CH119,22.4,training
CH116,32.9,training
CH437,30.6,training
CH410,28.8,training
CH013,27.9,training
CH244,31.4,training
CH065,25.2,training
CH286,27.9,training
CH258,22.8,training
CH220,34.7,training
CH130,20.9,training
CH097,27.2,training
CH520,27.1,training
CH035,24.66,training
