,SN-LS2013,group
CH019,12.0,training
CH204,7.83333333333333,training
CH392,10.0,training
CH317,7.83333333333333,training
CH457,9.0,training
CH281,8.83333333333333,training
CH175,11.5,training
CH114,12.0,training
CH013,15.1666666666667,training
CH470,7.16666666666667,training
CH250,7.33333333333333,training
CH101,12.5,training
CH422,6.33333333333333,training
CH488,7.33333333333333,training
CH207,13.5,training
CH485,11.6666666666667,training
CH181,11.6666666666667,training
CH307,9.83333333333333,training
CH417,9.33333333333333,training
CH064,13.6666666666667,training
CH341,7.66666666666667,training
CH169,9.5,training
CH400,9.0,training
CH185,8.66666666666667,training
CH210,10.1666666666667,training
CH081,10.1666666666667,training
CH085,13.1666666666667,training
CH030,11.5,training
CH374,7.0,training
CH476,6.83333333333333,training
CH331,9.66666666666667,training
CH235,6.83333333333333,training
CH028,14.5,training
CH078,9.16666666666667,training
CH055,8.0,training
CH152,8.66666666666667,training
CH108,10.0,training
CH160,7.8,training
CH129,9.5,training
CH224,7.5,training
CH209,8.5,training
CH123,7.5,training
CH166,11.8333333333333,training
CH046,12.3333333333333,training
CH330,7.16666666666667,training
CH092,8.33333333333333,training
CH351,10.0,training
CH135,9.16666666666667,training
CH286,9.33333333333333,training
CH040,8.0,training
CH380,8.66666666666667,training
CH048,9.83333333333333,training
CH062,11.1666666666667,training
CH404,9.33333333333333,training
CH522,6.66666666666667,training
CH469,6.66666666666667,training
CH082,14.8333333333333,training
CH500,8.5,training
CH243,10.5,training
CH413,9.0,training
CH096,12.1666666666667,training
CH056,12.1666666666667,training
CH058,11.5,training
CH054,8.16666666666667,training
CH144,13.8333333333333,training
CH495,7.66666666666667,training
CH353,9.0,training
CH212,10.0,training
CH153,8.0,training
CH075,11.8333333333333,training
CH137,8.83333333333333,training
CH093,13.5,training
CH252,9.0,training
CH440,6.0,training
CH421,8.0,training
CH420,7.33333333333333,training
CH428,6.83333333333333,training
CH002,9.0,training
CH138,9.83333333333333,training
CH453,9.0,training
CH255,7.16666666666667,training
CH051,8.33333333333333,training
CH322,7.66666666666667,training
CH361,11.0,training
CH356,9.83333333333333,training
CH343,5.66666666666667,training
CH031,10.8333333333333,training
CH382,8.66666666666667,training
CH306,9.16666666666667,training
CH295,10.0,training
CH260,5.16666666666667,training
CH332,5.66666666666667,training
CH266,10.1666666666667,training
CH184,8.16666666666667,training
CH455,9.33333333333333,training
CH501,8.16666666666667,training
CH271,10.8333333333333,training
CH117,8.5,training
CH406,8.5,training
CH154,9.16666666666667,training
CH222,8.83333333333333,training
CH197,9.66666666666667,training
CH446,9.0,training
CH403,12.8333333333333,training
CH090,17.3333333333333,training
CH359,7.83333333333333,training
CH059,11.1666666666667,training
CH480,5.0,training
CH190,8.83333333333333,training
CH499,5.83333333333333,training
CH257,7.83333333333333,training
CH240,7.5,training
CH269,10.1666666666667,training
CH370,12.5,training
CH242,6.5,training
CH170,9.16666666666667,training
CH490,9.66666666666667,training
CH393,10.6666666666667,training
CH483,9.16666666666667,training
CH254,10.6666666666667,training
CH077,13.0,training
CH084,10.5,training
CH318,7.33333333333333,training
CH337,8.5,training
CH288,5.66666666666667,training
CH299,8.33333333333333,training
CH507,5.83333333333333,training
CH174,7.83333333333333,training
CH192,10.3333333333333,training
CH498,9.66666666666667,training
CH355,5.0,training
CH134,10.1666666666667,training
CH387,12.1666666666667,training
CH283,6.83333333333333,training
CH412,8.5,training
CH481,7.83333333333333,training
CH303,9.66666666666667,training
CH258,9.5,training
CH456,12.5,training
CH003,9.0,training
CH130,12.3333333333333,training
CH463,6.33333333333333,training
CH172,8.0,training
CH381,6.33333333333333,training
CH334,7.66666666666667,training
CH482,7.5,training
CH438,9.5,training
CH441,8.83333333333333,training
CH205,9.16666666666667,training
CH287,7.0,training
CH124,10.1666666666667,training
CH401,12.8333333333333,training
CH344,8.33333333333333,training
CH165,9.0,training
CH475,8.66666666666667,training
CH231,6.16666666666667,training
CH225,11.6666666666667,training
CH199,6.5,training
CH366,8.33333333333333,training
CH325,7.83333333333333,training
CH079,7.83333333333333,training
CH431,8.83333333333333,training
CH074,12.3333333333333,training
CH158,7.66666666666667,training
CH346,6.0,training
CH465,5.5,training
CH492,7.0,training
CH066,11.1666666666667,training
CH261,7.66666666666667,training
CH001,12.5,training
CH324,6.33333333333333,training
CH248,7.83333333333333,training
CH415,6.83333333333333,training
CH464,7.0,training
CH111,7.5,training
CH163,6.16666666666667,training
CH157,6.5,training
CH268,15.5,training
CH043,10.0,training
CH171,9.0,training
CH203,11.1666666666667,training
CH150,7.33333333333333,training
CH364,7.33333333333333,training
CH133,11.0,training
CH029,11.1666666666667,training
CH010,22.3333333333333,training
CH443,8.16666666666667,training
CH050,9.0,training
CH407,10.6666666666667,training
CH358,11.0,training
CH326,7.33333333333333,training
CH294,10.0,training
CH201,6.0,training
CH173,9.0,training
CH505,8.5,training
CH244,8.33333333333333,training
CH089,9.83333333333333,training
CH377,11.5,training
CH494,6.16666666666667,training
CH156,10.5,training
CH187,7.16666666666667,training
CH491,6.16666666666667,training
CH452,8.5,training
CH004,12.3333333333333,training
CH234,8.33333333333333,training
CH189,10.5,training
CH314,9.0,training
CH251,4.83333333333333,training
CH183,9.5,training
CH076,13.3333333333333,training
CH039,10.5,training
CH467,5.5,training
CH230,7.66666666666667,training
CH427,7.83333333333333,training
CH313,11.1666666666667,training
CH437,8.83333333333333,training
CH215,10.0,training
CH213,11.0,training
CH489,6.66666666666667,training
CH259,8.5,training
CH357,10.1666666666667,training
CH383,11.5,training
CH012,14.8333333333333,training
CH202,21.8333333333333,training
CH121,6.5,training
CH367,4.83333333333333,training
CH033,8.16666666666667,training
CH228,7.16666666666667,training
