,TA-LS2013,group
CH367,29.0,training
CH165,13.8333333333333,training
CH245,18.8333333333333,training
CH279,29.3333333333333,training
CH364,21.8333333333333,training
CH431,16.1666666666667,training
CH499,21.5,training
CH092,15.0,training
CH106,25.6666666666667,training
CH441,21.6666666666667,training
CH402,14.5,training
CH471,14.5,training
CH160,11.3333333333333,training
CH474,10.6666666666667,training
CH058,12.5,training
CH206,24.6666666666667,training
CH201,28.6666666666667,training
CH209,28.3333333333333,training
CH452,13.6666666666667,training
CH063,12.6666666666667,training
CH251,12.1666666666667,training
CH043,15.0,training
CH392,25.5,training
CH292,15.0,training
CH455,17.5,training
CH459,11.0,training
CH111,24.8333333333333,training
CH386,16.8333333333333,training
CH175,14.0,training
CH318,23.6666666666667,training
CH416,11.6666666666667,training
CH083,18.3333333333333,training
CH368,25.0,training
CH215,28.1666666666667,training
CH328,25.0,training
CH314,23.1666666666667,training
CH033,28.0,training
CH258,11.3333333333333,training
CH428,26.6666666666667,training
CH502,18.8333333333333,training
CH273,17.1666666666667,training
CH306,26.5,training
CH269,21.0,training
CH443,30.6666666666667,training
CH286,20.6666666666667,training
CH466,13.0,training
CH322,10.6666666666667,training
CH460,14.8333333333333,training
CH433,19.8333333333333,training
CH483,27.3333333333333,training
CH190,24.5,training
CH445,25.8333333333333,training
CH045,15.0,training
CH142,13.8333333333333,training
CH139,21.5,training
CH189,20.0,training
CH434,19.1666666666667,training
CH351,12.6666666666667,training
CH505,16.5,training
CH001,21.3333333333333,training
CH031,18.3333333333333,training
CH408,21.8333333333333,training
CH075,12.5,training
CH224,22.8333333333333,training
CH280,22.6666666666667,training
CH381,23.0,training
CH172,14.5,training
CH467,12.5,training
CH307,11.0,training
CH384,20.5,training
CH506,25.5,training
CH197,23.5,training
CH230,10.0,training
CH297,10.3333333333333,training
CH352,10.6666666666667,training
CH134,20.1666666666667,training
CH291,13.0,training
CH180,12.1666666666667,training
CH458,12.1666666666667,training
CH066,19.0,training
CH214,21.8333333333333,training
CH162,10.0,training
CH008,27.5,training
CH359,15.5,training
CH125,23.0,training
CH410,24.1666666666667,training
CH145,30.5,training
CH437,22.1666666666667,training
CH456,17.0,training
CH150,20.0,training
CH235,13.6666666666667,training
CH485,16.8333333333333,training
CH326,34.5,training
CH220,20.1666666666667,training
CH194,21.6666666666667,training
CH360,19.3333333333333,training
CH277,28.6666666666667,training
CH294,16.3333333333333,training
CH362,14.0,training
CH012,26.0,training
CH476,17.0,training
CH093,15.6666666666667,training
CH040,24.6666666666667,training
CH073,19.5,training
CH218,24.6666666666667,training
CH038,16.5,training
CH117,11.6666666666667,training
CH048,16.1666666666667,training
CH343,12.0,training
CH409,19.8333333333333,training
CH176,22.1666666666667,training
CH164,20.5,training
CH370,15.5,training
CH163,14.6666666666667,training
CH124,14.6666666666667,training
CH212,22.0,training
CH155,9.33333333333333,training
CH225,16.0,training
CH341,21.8333333333333,training
CH011,26.8333333333333,training
CH274,16.0,training
CH432,11.0,training
CH464,8.0,training
CH391,13.8333333333333,training
CH481,25.6666666666667,training
CH470,14.8333333333333,training
CH422,19.0,training
