,yield2,group
422212,-0.403301424,training
2163607,0.131256755,training
3848142,0.430679204,training
143058,-0.784990368,training
60900,-2.379095942,training
3830162,-0.094487216,training
13469,-0.194708173,training
1649008,0.669909589,training
3830034,1.475702281,training
1302311,0.436482602,training
2200733,1.448488963,training
3827759,0.415648592,training
168060,-0.734367266,training
1831374,-0.222339184,training
428988,0.259463129,training
609307,-0.760998347,training
107059,-0.729842261,training
85244,-0.12277641,training
342253,0.795970541,training
692876,0.466803302,training
1636586,1.188804288,training
168912,-2.34681968,training
1987795,-0.301510955,training
3889,0.626475867,training
1301936,0.457576088,training
1343502,0.307947137,training
1630957,1.616198949,training
2588696,1.899919946,training
2167,-0.648626327,training
1766370,1.062806623,training
433740,-0.573688442,training
295091,0.017074733,training
170862,-0.578928588,training
438273,0.576485633,training
1630947,1.83854442,training
295146,0.230022115,training
609448,-0.969844745,training
431424,0.774434047,training
353782,-0.674181532,training
2485890,0.386872089,training
16004,-0.274386238,training
480143,-0.528678879,training
65038,-0.254286354,training
3855675,0.535893488,training
393298,2.451375697,training
460960,-1.505738275,training
1295300,0.563511842,training
376790,-0.459576035,training
412450,-2.090508191,training
2485043,1.18338061,training
342336,-0.176608151,training
457982,0.602616748,training
458835,0.680459496,training
15292,-0.236205319,training
653215,0.599180275,training
770505,-0.890774233,training
1478148,-0.38176493,training
78690,-2.824634925,training
371007,1.138320417,training
1637620,1.49764381,training
1402346,0.809925277,training
430154,-0.808317877,training
2430154,1.031277145,training
85741,-0.071659672,training
422983,-0.668998344,training
1478078,-1.403175707,training
144880,-0.312149464,training
1541045,1.459304675,training
2464236,1.188323308,training
214589,-0.398048621,training
454059,-0.320908355,training
107052,-0.595478083,training
878573,-0.386289935,training
30709,-1.059420864,training
67055,-0.462949221,training
3830083,0.505041179,training
64873,-0.276189911,training
3868812,0.497921415,training
355411,-0.405339258,training
536162,-0.917892621,training
126114,-0.137661462,training
2600794,1.449033229,training
294897,-0.341685408,training
15200,-1.953574569,training
413235,-0.069248445,training
294745,-0.595629971,training
305029,-2.123417321,training
2620837,0.889546385,training
143808,-2.259800347,training
876108,-0.494839433,training
429726,0.822107984,training
692864,0.454411749,training
414940,-1.10441777,training
1210458,-0.755606312,training
369682,0.559815893,training
82710,-2.278786384,training
2621094,0.674371307,training
376770,-0.211567773,training
1082612,1.918709793,training
86783,-0.641728067,training
390604,0.665852906,training
2484320,0.913506762,training
390845,-0.718786059,training
89762,0.310769727,training
62221,0.921942891,training
222693,-1.391638526,training
85637,-0.721330188,training
909641,-0.568910289,training
1491661,0.152679332,training
1195398,0.019498617,training
2163596,-0.092753158,training
41669,-0.608920196,training
692904,0.389017511,training
2464628,1.2586286,training
4937014,-0.542810818,training
106875,0.286360014,training
143023,-2.281159638,training
423200,-1.475360617,training
3863169,0.130858048,training
106844,-1.316953788,training
1298199,0.228161484,training
1291474,1.832323328,training
3827757,0.687781778,training
3578468,0.577637453,training
1093268,-1.039529827,training
321833,0.360835905,training
3830114,1.047953214,training
413317,-1.551304762,training
126309,-2.186229457,training
743034,-0.921063289,training
107017,0.013321826,training
1507248,1.262280248,training
39359,-1.413731944,training
377191,-0.347957128,training
